stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.16,1.01,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0
 24-34,0,12.52,2.23,0.66,0,65.15,0,0,0,2.11,0,0,0,0,0,0,0,2.16,1.59,0,0,0,36.84,0,0,0.79,0,6.67,0,0,2,0,0
 36-46,0,9.22,0,0,0,64.7,0,0,2.07,0,0,0,0,0,0,0,0,18.18,0,0.65,0,0.82,48.02,0,0,0,0.89,6.6,0,0,0,0,0
 48-58,0,1.26,0.47,0,0,209.65,0,0,0,14.86,0,0,0,0,0,0,0,1.65,4.23,0,9.18,0.37,64.12,0,0,2.26,0,10.99,0,0,0,0,0
 60-70,0,2.6,6.2,0,0,1603.23,0,0,4.45,253.48,0,0.92,1.2,0,0,0,0,11.62,86.54,0,0,0,128.79,1.02,0,6.72,0,17.39,0,0,0,0,0
 72-82,0,3.14,1.35,1.23,0,2668.02,0,0,1.18,2013.45,0,0,2.57,0,1.57,0,0,0.49,182.85,1.05,0,2.5,169.57,0,0,4.86,0,2.28,4.21,0,0,0,10.49
 84-94,0,2.67,17.96,7.33,0,1723.44,0,0,0,1847.88,1.71,0,2.78,0,8.94,0,0,2.06,156.43,0,8.91,0.78,340.31,0,0,7.46,3.99,6.27,0,0,2.6,1.72,0.88
 96-106,0,4.12,15.13,5.2,0,1412.29,0,0.68,0,2950.72,0.6,0,0,0,0,0,0,10.8,120.58,0,1.32,0,303.22,0,0,7.41,0.6,10.97,0,0,3.64,2.35,0
108-118,0,2.31,1.82,3.29,3.92,1090.73,0.43,0,4.07,2672.83,0,0,0.63,0.45,0,0.61,0,15.95,75.57,0,0,0,203.67,0,3.27,3.53,0.84,1.68,0,1.46,15.89,2.19,9.97
120,0,0,2.16,1.68,0,1078.29,0,0,9.65,2750.48,7.13,0,5.77,3.2,0,0,23.7,0,119.13,0,0,0,164.42,0,0,10.97,0,0,0,5.4,0,17.44,10.98
