stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,658.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.79,0,0,0,0,0,0
  5-6,208.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,6.3,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.01,0,0,0,17.76,0,0,0,0,0,0,0
 10-12,22.44,0,0,0,0,0,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.94,0,0,0,20.52,0,0,0,0,0,0,0
 14-21,0,1.41,0,9.98,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,32.28,0,1.44,2.97,0,8.11,0,7.57,0,0,0,0
 24-34,0,0.61,2.57,2.71,1.27,0,11.43,0,0.62,0.65,3.07,0,0,2.87,0,0,0,0,0.69,0,1.94,78.2,0.83,3.41,5.11,0,6.28,0.79,21.2,0,2.29,0,0
 36-46,0,0,0,2.15,0,0,13.21,0,0,1.48,0.66,0,0,0,0,2.52,0,0.79,0,0,3.68,44.24,0,9.3,0,0,5.78,0.56,14.5,0,0,0,1.54
 48-58,0,0,0,3.83,0,0,6.1,0,2.05,15.1,3.53,1.18,3.11,0.61,0,0.41,0,0.95,0,0,0,29.91,0,2.01,1.25,0,8.95,1.04,9.55,0,3.85,0,0
 60-70,0,0,0,1.92,0,0,3.31,0,0,7.6,0,0,0,0.86,0,0.66,0,0,0,0,0,20.55,0,0.9,0.87,0,2.96,0,2.31,0.81,0,0,0
 72-82,0,0,0,1.21,0,0,27.24,1.01,0,18.58,0.51,0,0.65,0,0,1,0,4.27,0,6.72,0.54,22.72,0,3.24,8.36,0,4.63,1.18,3.06,0,0.89,0,0
 84-94,0,1.11,0,2.78,0,0.76,13.01,0,0,11.59,1.99,1.22,0.67,2.47,0,0,0,1.93,0,0,0,14.16,2.43,7.22,3.27,0,9.75,0,13.39,4.99,1.58,0,0
 96-106,0,0.61,0,7.45,0,1.52,49.38,0,0.59,50.48,5.33,0,5,1.45,1.59,12.23,4.14,17.04,0.7,0,1.71,83.93,0.62,7.55,9.84,0,11.01,1.14,13.61,0.83,7.75,0.87,0
108-118,0,0,0.49,5.27,0,0,12.08,0,0.82,22.82,0,0,2.53,2.69,0,2.94,0,6.86,0,0,0.6,35.11,0,3.87,2.26,0,2.34,0,0,0,0,0,0
120,0,0,0,0,0,0,1.21,0,1.06,10.73,0,0,0,0,0,1.76,0,0,0,0,0,8.91,0,0,2.92,0,3.97,0,0,0,10.06,0,0
