stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,41.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,17.89,0,0,6.32,0,0,0,0,0,0,19.46,0,0,12.82,0,3.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,28.96,0,6.67,0,0,0,0,0
 14-21,0,2.18,5.58,2.03,0,0,0,0,0,0,1.29,0,1.11,6.92,0,0,0,0,39.45,2,0,1.12,0,0
 24-34,0,0,5.72,3.77,0,0,0,0,0,0.71,0.75,0.61,0.93,36.87,0,0,0,0,219.9,0,1.28,4.7,0.69,0
 36-46,0,0,0,2.02,1.08,0,0,1.47,0,0,0,0,0.97,33.9,0,0,0,0,187.69,0,0,2.13,0,0
 48-58,0,0,0,5.64,7.03,0,0,0,0,0.61,3.21,0,0,6.54,0,2.05,0,0,66.42,0,2.28,9.02,0,0
 60-70,0,0,0,8.52,0.96,0,0,0,0,1.15,2.89,0,0,8.65,0,0,0,0,14.88,0,0,0,0,0
 72-82,0,0,0,3.27,2.25,0,0,0,0,0,13.16,0,0.83,18.51,1.23,2.41,0,0,4.25,0,0,0.83,0,0
 84-94,0,1.04,2.1,14.1,0,0,0,0,0,0,1.67,0,0.59,23.04,0,0,0,0,0,0,0,0,2.14,0
 96-106,0,0,3.21,1.46,0.94,2.55,0,0,0,0,2.62,0,0,7.59,0,0.73,0,1.45,0.64,0,0,0,0,0
108-118,0,0,0,11.66,6.78,0.43,0,0,0.76,0,6.55,0,0,1.25,0,0,0,0,3.24,0,0,0,0,0.44
120,0,0,2,2.82,27.34,0,0,0,0,0,4.14,0,0,14.35,0,0,0,0,4.78,0,0,0,0,0
