stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,345.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.44,100.78,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,6.56,0,0,0,0,0,0,0
  7-9,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,88.59,4.61,0,0,18.57,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.85,5.33,0,0,27.42,0,4.54,0,0,0,0,0
 14-21,0,0,1.01,1.52,0,0.81,0,0,0.93,0,0,0,0,0,3.95,17.15,0,0,0,1.12,0,0,2.34,4.74,0,0,0
 24-34,0,0,0,0.69,0,0.63,0,0,0,0,0,0,0,2.01,0,25.85,0,0,0,0,0,0,0,3.46,0,0,0
 36-46,0,0,0,0,0,2.3,0,0.82,0,2.25,0,0,0,2.38,0,30.12,0,0,1.31,0,0,0,0,8.44,0,0,0
 48-58,0,0,0,0,0,4.92,0,0,0,0,0,0,0,9.79,0.43,8.09,0,0.77,0,0,0,0,0,13.7,0,0,0
 60-70,0,0,0,0,0,4.1,0,0,0.64,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,8.49,0,0,0
 72-82,0,0,0,0,0,8.52,0.5,0,2.48,0,0,0,0,0,0,35.26,0,0,0,0,0,0,0,4.96,0,0,0
 84-94,0,0,0,7.31,0,13.66,0.58,0,3.81,0,0,0.68,1.36,0,0,8.34,0,4.64,0,0,0.83,0,0,17.58,0,0,0
 96-106,0,0,0,0,0.66,14.82,0,0,0.79,0,0,0,0,0.59,0,13.37,0,0,0,0,0,0,0,0,0,1.22,0.58
108-118,0,0,0,2.25,0,2.1,0,0,4.64,0,1.4,0,0,0,0,12.68,0,0,0,0,0,0,0,0,3.49,0,0
120,0,0,0,2.06,0,5.22,0,0,0,0,0,0,0,0,0,28.99,0,7.65,0,0,0,0,0,8.67,0,0,0
