stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.3,0,3.7,0,0,0,0,0,0,1.91,0,1.11,16.99,0,0,0,3.31,0,0,0,0,0
 24-34,0,1.34,0,5.21,0,0,0.71,0,0,0,4.64,0,3.13,28.42,0,35.31,0,1.38,10.94,0,0,0,0
 36-46,0,0,0.88,1.25,0,0,1.17,0,0,0,1.89,0,0,12.98,0,55.35,5.13,0,4.01,0,0,0,0
 48-58,0,0,0,15.45,0.98,0,0,4.3,0,0,3.49,0,1.01,18.72,0.56,47.86,0,0,5.34,0,0,0,0
 60-70,0,0,0,26.79,0,0,0.63,0,0,0,1.6,0,0,9.67,0,41.7,0,0,0,0,0,0,0
 72-82,0,0,0.9,24.16,0,0.55,0,11.03,0,0,5.3,1.17,0,6.03,0,56.39,0.79,0,0,0.52,0.65,0,0
 84-94,0,0,0,12.83,0,0,0,1.53,0,0,3.37,0,0,5.12,0,61.37,0,0,0,0,0,0,0
 96-106,0,0,1.32,7.94,0,0,0,0,0,0,2.72,2.13,0.61,10.57,0.57,79.05,0,0,0,0,0,1.52,0
108-118,0,1.08,0.49,3.12,0,0,0,4.27,0.5,1.08,4.68,0,0.83,6.97,0,50.69,0,0,0,0,0,0,0.65
120,1.19,16.16,2.32,14.82,0,0,0,0,2.52,0,14.58,0,3.77,5.32,0,50.34,0,0,0,0,0,0,0
