stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,68.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0
  5-6,6.36,50.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,24.13,0,20.13,0,4.3,0,0,0,0
 10-12,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.89,10.87,29.27,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,0,0,8.22,0,0,0,20.99,1.99,0,4.42,0,0,1.53,0,0.81,0,2.99,0
 24-34,0,0,0,0.74,0,0.81,0,0,0,0,0,0,0,0,33.58,0,0.81,5.44,0,0,2.38,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.72,1.45,0,2.54,0,0,0,0,0,0.61,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0.95,0.98,0,0,0.38,0,0,0,0.9,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,12.12,0,0,7.51,0,0,4.76,0,0,0,0,0
 72-82,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,24.58,0,0,3.86,0,0,0.54,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,0,0,1.12,0,0,1.58,0,0,0,0,0
 96-106,0,0,0,5.31,0,4.79,0,0,0,1.28,0,0,0,0,82.9,8.04,5.05,17.45,0,0,9.02,0,0,0,0,0
108-118,0,0,0,0.45,0.6,2.74,0.69,0,3.91,0,0,0,1.09,0,159.58,0.56,3.68,19.63,0,0,0.45,0,0,0,0,2.45
120,0,0,0,0,0,0,0,8.81,0,0,0,5.9,0,2.64,156.66,3.44,0,25.01,0,0,0,0,0,0,0,0
