stage,endoderm,eye,glial,gut,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,pericytes,pgc,somites,spinal.cord,vasculature
  7-9,3.47,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0
 10-12,6.9,0,0,0,0,0,31.95,7.15,0,15.14,0,3.03,0,0,0
 14-21,0,0,0,0,2.2,0,2.92,0,0,0,0,0,2.18,1.89,0
 24-34,0,1.05,0,0,0.61,0,9.78,0,0.68,0,0,0,0,0.81,1.46
 36-46,0,0.67,0,0.83,0.59,0.71,1.58,0,0,0,0,0,0,0.6,0.62
 48-58,0,1.56,1.26,0,0,0,1.98,0,0,0,0,0,0,1.88,0
 60-70,0,3.48,0,0,0.62,0,1.81,0,0,0,0,0,0,0,0
 72-82,0,1.45,0,0.65,2.53,0,2.68,0,0,0,0,0,0,0,0.65
 84-94,0,3.22,0,0,3.76,0,1.27,0,0,0,0.79,0,0,0,0
 96-106,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.67,0,4.62,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0
