stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,2.39,0,0,0,0,0,0,0,0,9.7,0,0,2.1,0,0,1.15,0,0,0,0,0
 24-34,2.63,0,0,0,0,0,1.53,0,0,116.58,0,7.49,18.86,0,0,0,0,0.66,0,0,0
 36-46,0,2.35,4.45,0,1.59,0,0,0,0,237.56,0,12.68,27.96,0,0,0,0,4.38,0,0,0
 48-58,0,4.71,0,7.78,0,0,1.64,0,0,303.24,0,23.75,48.25,0.54,0,0,0,3.88,0,0,0.93
 60-70,4.19,0,0,2.82,0.68,0,0,1.55,1.2,258.43,0,52.96,30.6,0,0,0,0,3.32,0,0,0
 72-82,1.82,13.6,0,6.92,8.13,0,0,0,0,403.16,0,97.09,45.66,0,0,0,0,2.45,0,1.7,0
 84-94,0.73,14.94,0.57,4.67,11.87,0,0,0,0,305.14,5.11,73.54,57.1,0.87,0,0,0,2.68,0.98,0,0
 96-106,1.44,9.51,4.64,2.57,0,1.01,0,1.31,9.02,407.59,0,104.52,66.52,0,3.82,0,0,1.89,0,7.92,0
108-118,0.62,16.74,3.88,3.97,13.5,0.49,0,0,0,560.93,0,66.85,26.51,3.52,0,0,0.55,0,0,5.36,0
120,0,55.5,2.55,5.14,5.29,0,0,0,0,343.66,0,59.01,91.91,0,0,0,0,0,0,0,0
