stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,183.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112.55,0,0,0,0,0,0,0,0,0
  5-6,0,241.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0,8.65,3623.01,0,0,0,0,0,0,0,0,0
  7-9,9.83,9.92,4.13,0,0,0,26.76,0,0,0,0,0,84.66,0,0,0,0,0,0,0,0,0,304.49,3.33,0,0,99.26,1562.84,0,0,0,0,0,0,0,0,0
 10-12,0,12.18,0,0,15.91,0,32.65,0,0,0,0,0,141.58,0,0,0,0,0,0,0,0,0,1259.26,15.35,0,0,69.15,313.01,0,37.42,0,7.77,5.09,0,0,0,0
 14-21,0,0,0.85,1507.33,0.97,0,10.17,0,31.31,0,0,0,0,0,0,13.38,0,1.46,1.02,4.38,0,3.6,24.23,2.41,0,1.61,1.02,335.45,5.88,0,0.93,19.17,7.62,0,0,0,0
 24-34,0,0,0.68,961.06,0,0,12.23,21.13,152.37,0.62,0.94,0.69,12.97,0,0,21.01,0,0.94,3.61,21.94,0,8.29,81.92,13.45,0.76,0,0,160.18,0,0,5.04,26.94,9.72,0,0,1.33,1.57
 36-46,0,0,0,166.17,0,0,3.73,45.65,318.15,0,0.91,0,6.29,0,1.13,25.32,0,0,1.49,0,0,3.48,41.54,7.53,2.97,0,0,67.93,0,0,0,2.08,4.08,0,0,1.94,0
 48-58,0,0,0,109.2,2.7,0,2.1,37.75,182.53,0,2.7,0,52.47,0,1.53,2.38,0,0,3.43,6.62,0,3.94,51.75,3.59,4.64,0.62,0,59.41,0,0,0.47,0,5.26,0,0,0,1.6
 60-70,0,0,0,102.22,0,0,6.69,7.94,188.29,0.63,9.81,3.74,19.23,0,1.84,7.28,0,0,11.25,8.11,0,0,16.23,15.15,5.57,0,0,77.94,0,1.14,0,0,0,1.23,0,0,1.96
 72-82,0,0,0,133.97,0.92,0,30.62,0,277.06,0,2.38,12.93,6.31,0.9,0,17.33,0,0,3.94,27.67,1.5,0,59.87,0.61,3.16,0,0,581.8,0,0,0,0,0,1.87,0,1.47,11.49
 84-94,0.62,0,0,64.8,0,0,37.19,0.75,137.63,0,1.71,22.98,3.66,0,1.03,7.11,0.86,0,0.62,10.74,0,0.61,31.39,0,0,0,0,195.98,0,0,0,0,0.87,0.6,1.76,0,0
 96-106,0,0,0,336.36,3.48,0.66,62.72,9.71,137.42,0,13.14,65.7,2.64,2.78,0.56,16.27,1.64,18.48,25.41,11.05,1.82,6.49,55.29,0,24.05,2.4,0,1046.69,0,1.79,0,0,7.53,1.94,0,0,0
108-118,0,0,0,89.71,0,0,19.55,4.53,182.43,1.5,9.9,11.38,0,0,0,6.75,0,0,10.9,3.65,0,5.61,46.69,0.45,9.05,2.57,0,296.06,0,0,3.15,0,0.42,2.14,0,0,0
120,0,0,0,123.6,14.01,0,1.6,1.03,87.99,1.74,0,16.17,0,0,0,10,0,0,4.93,12.15,0,0,20.08,0,11.66,0,0,134.03,0,0,0,0,0,6.84,0,0,0
