stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0,0,0,47.86,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,25.13,0,0,0,206.59,0,0,0,57.92,0,0,0,0
 14-21,1.69,0,0,0,0,0,0,0,0,1.07,0,0,0,0,3.98,0,49.1,8.29,0,0,0,0,0,32.92,198.92,1414.83,2.95,0,0,0
 24-34,0,0,0,0.66,7.2,0,0,0,0,0,0,0,0,0,0,0,49.62,54.91,0.83,1.31,0,0,4.55,0,59.56,273.69,17.57,0,1.04,0
 36-46,0,0,0,2.44,29.42,0,1.71,0,0,0,5.35,0,0,0,2.46,0,48.87,21.44,0,0,2.11,0,0,0,61.29,11.62,1.37,0,0,0
 48-58,0.42,0,0,6.32,12.23,0,0.97,0.53,0,0,0,0,1.98,0.43,5.72,0,96.43,41.35,0,0,0.4,0,0,0,13.31,0.55,2.95,0,0,3.26
 60-70,0,0.72,0,10.45,46.51,0,0,0.92,0,0.95,0,0,0,0,2.87,0,99.3,20.92,0,0,0,0,0,0,14.04,0,1.88,0,1.82,0
 72-82,0,0,0,1.65,37.94,0,1.2,0.62,0.5,0,0,4.43,0,0,7.82,0.56,43.39,15.97,0,0,0,4.51,0.66,0,7.37,0,0,0.87,0.83,0
 84-94,0,0,0,4.1,44.36,0,0,1.14,0,0,0,0,4.81,0,1.41,0,44,73.02,0,0,0,0,6.74,0,11.39,0,1.27,0,0,0
 96-106,2.6,5.3,3.86,9.03,44.63,0,0,4.12,0,0,0,0,0,0,9.26,0,49.28,28.08,0.57,0,0,0,0.66,0,14.74,0,0,0,0,0
108-118,0,0,0,6.26,19.15,0,0,3.44,0,0,0,0,0.7,0,2.37,1.5,77.82,12.41,0,0,0,0,0.41,0,7.34,0,0,0,0,0
120,2.86,0,0,0,31.78,1.83,0,0,0,0,0,0,0,0,6.22,0,86.91,60.08,0,0,0,0,0,0,5.19,0,0,0,0,0
