stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.55,0,0,0,0,0,0,0,0,11.38,0,0,6.15,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,5.89,0,0,0,0,0,0,0
 14-21,0,0.9,1.09,0.98,0,0,0,0,0,3.26,0,3.08,2.85,0,0.89,0.87,0,0.93,2.8,0,0,0,3.62
 24-34,0,0.84,0,6.19,0,0,0,0,0,0,0,16.14,14.02,0.67,0,0,0,0,2.22,0,0,0,0
 36-46,0,0,0,7.97,0,0,0,0,0,15.71,0,0,12.69,0,0,0,0,0,1.96,0,0,0,0
 48-58,0,0,0,0,0,0.45,0,1.34,0,1.74,0,0.47,1.85,0,0,0,0,0,0,0,3.48,0,0
 60-70,0,1.2,0,3.14,0.83,0.93,0,0.6,0,4.18,1.74,0,8.68,1.43,0,0,0.71,0,0,0,0,0,0
 72-82,0,0,0,0.62,0,4.27,0,0.6,0,20.21,0,0,1.17,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,11.56,0,2.67,0,0,0,23.55,0,0,3.52,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.08,0,2.19,1.93,0,1.36,55.41,0,0,0,0,1.5,0,0,0,0,0,0,0,0
108-118,0,0,0,15,0,7.63,0,2.03,0.52,44.74,0,2.47,9.86,0.72,0.48,0,0,0,0,0,1.85,2.72,0
120,0,1.48,0,14.07,0,15.17,4.21,0,0,68.06,0,2.19,11.35,0,0,0,22.36,0,0,1.95,0,0,0
