stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,38.45,788.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.62,0,0,0,0,0,0,0,0
  5-6,0,213.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,0,0,0,7.13,0,0,0,0,0,0,0,0
  7-9,0,6.79,0,4.73,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.89,5.33,0,0,33.82,0,25.91,0,0,0,0,0,0,0
 10-12,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.79,7.83,0,0,24.25,0,9.34,0,0,0,0,0,0,0
 14-21,0,0,0,1.81,2.55,0,0,0.87,0,0,0,0.83,0,1.52,0,0,0,0,6.62,0,0,2.3,18.41,0,0,0,0,0,0,1.37,0,2.23,2.79,0,0,0
 24-34,0,0,0,0,2.21,0,0,0.81,0,0,0.69,1.27,0,1.56,0,0,0,0,17.85,0,0,2.03,40.79,0.67,0,0,0,4.44,0,0,0,0.67,4.84,0,0.67,0
 36-46,0,0,0,0,0,0,0,26.15,1.17,0,1.2,1.24,0,0.67,0,0,0,0,27.55,0,0,6.61,43.67,3.47,0,0,0,1.18,0,0,0,0,7.11,0,2.67,0
 48-58,0,0,0,0,0,0,0,30.85,0.7,0,0,1.2,0,0.73,0,0,11.51,0,41.29,0,0,0.5,16.78,0.96,0,0,0,0,0,0,0,0,4.51,0,0.47,0
 60-70,0,0,0,0,0,0,0,15.09,0,0.89,0.81,1.35,0,0,0,0,16.51,0,47.81,0,0,4.53,19.41,0,0,0,0,0,0,0,0,0,8.62,0.81,0,0
 72-82,0,0,0,0,0,0,0,10.61,0.6,0,9.13,0.66,0,0,0.56,0,32.22,0,43.02,0,0,8,24.12,0,2.32,0,0,0,0,0,0,0,21.3,2.63,6.87,0
 84-94,0,0,0,0,4.16,0,0,0.58,0,0,5.94,0,2.55,0,0,0,111.26,0,32.82,0,0.63,4.41,14.82,1.23,0,1.05,0,0,0,0,0,0,0,0,0,2.34
 96-106,0,0,0.89,0,0.62,3.11,0,30.34,0.69,0,6.84,0,0.57,0,0,0,174.73,0,70.77,0,0.8,8.25,28.06,0,0,0,0,5.67,0,0,0,0,0,2.04,0,3.97
108-118,0,0,0,0,0.61,0,0.5,8.46,1,0,3.86,4.42,0,0,0,0.74,371.81,0.44,88.65,1.15,0,12.14,21.89,1.03,0,1.11,0,2.37,0,0,1.36,0,0,0.87,1.56,0
120,0,0,0,0,2.29,2.63,0,13.87,1.61,0,0,0,0,0,0,0,96.82,0,28.4,0,0,0,6.78,0,0,0,0,1.68,0,0,0,0,0,5.08,0,0
