stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,75.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.03,176.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.45,5.65,0,0,0,0,0,0,0,28.7,0,17.43,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,39.94,0,0,0,0,0,0
 14-21,0,0,1.7,0,0,0,0,1.81,0,9.09,0,0.92,0.87,1.01,2.18,0
 24-34,0,0,0,0,0,0,0,0,0.6,10.83,0,0,0,0,2.29,0.82
 36-46,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,3.19,0
 48-58,0,0,0,2.94,4.09,0,0,1.89,0,4.02,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0.85,0
 72-82,0,0,0,3.24,0,0,0,0,0,0.75,0,0,0,0,0,1.23
 84-94,0,0,0,2.1,0,0,0,1.64,0,0.75,0,0,0,0,0,0
 96-106,0,0,0,1.57,0,0.81,1.73,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.79,0,0.63,0.54,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73
