stage,axial,blastomeres,eye,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,spinal.cord
  3-4,0,30.51,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.07,6.57,0,0,0,0,0,0,0,0,0,0,0,8.05,0
  7-9,4.24,0,0,0,0,0,0,0,0,0,0,0,24.3,3.85,0
 10-12,0,5.93,0,0,0,0,0,0,0,0,0,0,54.97,21.34,0
 14-21,0,0,0,0,0,0,0,7.54,1.88,0,0,0,1.89,0,1.23
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,1.1
 36-46,0,0,1.13,0,0,0,0,0,0,0,0,0,4.06,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.46,0.37,0,4.5,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.89,0.5,0,0,0,0,0,0,2.33,0,0
 84-94,0,0,0,0,0,3.44,0,0,1.04,1.45,0,0,0,0,0
 96-106,0,0,1.48,1.49,0,8.84,0.83,0,5.7,0,0,0,3.28,0,0
108-118,0,0,0,0,0,9.79,0,0,8.18,0,0,0,4.81,0,0
120,0,0,4.29,0,0,8.07,0,0,1.38,0,0,4.81,2.4,0,0
