stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,176.33,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,35.26,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.64,833.07,0,0,148.32,0,0,0,6.6,0,0,0,0,0,0,0,0
 14-21,0,0,6.96,0,6.05,7.75,0,17.1,0,0,0,0,0,35.87,0,0,0,0,0,0,70.89,0,0,10.93,109.84,461.21,0,8.2,8.95,0,0,25.54,0,0,4.01,96.48,0,0,4.51,0,0
 24-34,0,0,3.22,0,46.37,4.9,0,144.46,0,0,2.39,18.26,2.9,99.04,6.32,3.73,0,0,1.3,0,482.87,0,0,52.43,745.75,161.09,11.01,15.04,0,0,0,0,2.38,0,2.26,460.65,0,0,122.34,0,1.87
 36-46,0,0,10.86,0,48.81,0.89,0,139.11,0,0,7.66,36.76,0,41.99,0,0,0,0,16.36,4.85,733.8,0,1.13,22.45,811.37,95.55,17.78,2.52,0,6.97,2.32,0,0,0,0,468.58,0,0,234.62,0,0
 48-58,0,0,4.97,0,41.87,9.63,0,391.45,0,4.08,29.5,100.24,0,19.15,0,0,0,0,2.49,0,884.65,0,7.27,24.59,1106.45,28.04,9.97,0,0,1.9,0,0,0.61,0,0,332.01,0,2.01,261.89,0,6.79
 60-70,0.81,0,0,0,71.03,20.29,0,1256.5,1.23,0,29.17,175.22,3.05,17.5,0,4.27,0,0,0,2.64,1032.21,0,5.5,27.66,1581.18,22.63,13.12,0,0,4.27,0,0,1.3,0,0,172.66,0,16.37,155.3,5.37,1.74
 72-82,0,0,1.5,0,111.01,55.24,0,1528.66,0.75,7.01,51.62,209.86,11.33,5.8,1.2,0,2.8,0,5.04,0,1377.06,3.05,16.35,53.92,2156.72,12.64,23.23,8.93,0,16.04,3.68,4.38,0.86,0.5,0,169.2,3.53,17.56,302.27,23.18,6.4
 84-94,0.62,0,2.02,0,162.31,11.01,0,1572.62,1.86,0.91,37.04,147.48,8.84,21.21,2.35,3.1,1.13,2.31,3.37,0,1108.15,0,32.69,47.64,1497.99,6.13,14.95,2.64,0,50.37,5.2,0,9.66,3.19,0,150.64,3.02,23.16,237.06,21.35,0
 96-106,0,0,0.9,0,231.5,30.35,1.4,1321.04,3,1.16,17.66,168.34,15.12,23.78,5.12,10.32,1.05,1.55,14.83,2.94,999.55,2.12,30.75,40.15,1629.02,4.18,29.21,9.73,0,32.53,6.14,0,7.02,1.71,0,156.26,3.87,10.59,178.14,24.87,5.81
108-118,0.83,0,3.89,0,233.21,25.63,11.56,1362.14,1.3,2.65,38.4,162.83,17.8,10.46,2.22,27.29,0,0,24.47,0,1104.04,0,20.13,37.91,1704.05,3.19,41.72,7.19,0,82.69,11.11,0,13.4,1.33,0,61.12,10.66,16.04,208.7,13.32,3.93
120,0,0,3.46,0,226.92,61.42,0,1588.43,0,14.61,50.39,243.83,8.69,8.57,0,9.1,0,0,0,0,1169.31,3.25,21.49,51.07,3119.15,6.25,20.16,19.75,0,82.49,12.85,0,7.83,0,0,222.73,0,26.01,462.72,15.53,0
