stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,348.91,8248.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.36,0,0,0,0,0,0,0,0,0
  5-6,283.95,3377.33,0,0,0,0,0,0,0,0,40.32,0,0,0,0,0,0,0,0,52.61,0,0,6.56,62.23,0,0,0,0,0,0,0,0,0
  7-9,66.11,65.93,53.7,0,0,114.45,0,0,0,0,44.14,0,0,0,0,0,0,0,0,1309.65,63.54,0,444.83,0,23.32,0,0,0,0,0,0,0,0
 10-12,0,6.4,21.78,0,0,63.94,0,0,0,0,16.09,0,0,0,0,0,0,0,0,430.36,22.05,0,112.52,0,5.62,0,24.98,0,3.24,0,0,0,0
 14-21,0,0,5.32,19.26,3.5,8.03,0,0,0,3.14,0,1.46,0,0,0,19.9,0,0,38.3,82.76,0.87,0,1.18,0.95,4.41,14.41,1.05,4.22,157.96,17.28,0,0,0
 24-34,0,0,0,0.62,0,7.24,0.73,0.68,0,0,0,0.8,5.2,0,0,20.11,0,0,3.43,54.82,0,0,0,6.26,0,0,1.6,0,0,11.63,0,0,0
 36-46,0,0,0,1.15,0,2.15,0,0,0,0.58,0,0,0,0,0,6.15,0,1.28,1.27,32.5,0,0,0,2.24,0,0,0,0,0,7.45,0,4.09,0
 48-58,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0,6.76,2.57,0.52,0.41,16.15,1.42,0,0,3.67,0,0,0,0,0,1.78,0,6.41,0.54
 60-70,0,0,0,0,0,0.62,0.6,0,0,1.57,0,0,0,2.04,4.76,9.52,1.46,0,0.68,20.31,0,0,0,0,0,0,0,0,0,7.39,0.82,0,0
 72-82,0,0,0,0,0,0,0.65,0,0.91,1.05,0,0,0,2.96,1.31,9.34,0,0,0,19.26,0,1.58,0,1.02,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.73,1.96,0,0,0,0,0,6.71,0,0,2.77,2.34,0,0,0,0,0,0,0,0,0,0,0,0.78,0
 96-106,0,0,0,1.76,0,1.46,0,0,7.73,1.1,0,0,0,0,0,17.07,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,2.1,0
108-118,0,0,0,0,0,3.11,0,0,4.41,5.12,0,0,0,0,0,4.35,0,2.41,1,8.41,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,7.98,0,1.85,0,0,0,25.42,0,0,0,25.72,1.03,0,0,0,0,0,0,0,0,0,0,0,0
