stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,57.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.28,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,5.69,0,4.49,0,0,0,10.18,0,0,0,0,0,13.78,0,0,0,0,0,0,0,0,0,0,68.46,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.06,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,13.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,1.01,0,0,1.41,0,0,0,0,0,0,0,0,0.96,0,0,0,0.99,0,0,0,25.87,0,0,0,0,0,0,1.27,0,0,0.98,5.95,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,1.49,0,0,0.91,46.15,0,2.64,0,0,0,2.79,0,1.34,0,0.59,14.77,0,0,5.34,0,0
 36-46,0,0,0,0,0,0,0,3.5,1.51,0,0,6.57,0,0,0,0,0,0,0,0,0.95,0,0,0,117,0.9,1.34,0,0,0,0,0,1.16,0,0,20.15,0,0,0,0,0
 48-58,0,0,0.54,0,5.82,0,0,28.03,0,0,0.77,15.2,0,0,0,0,0,0,0,0,10.5,0,0.51,1.03,126.16,0,0.56,0,0,0,9.21,0,1.22,4.03,0,38.41,0,0,0.46,0,3.75
 60-70,0,0,0,0,4.81,0,0,63.77,4.75,0,0.73,16.84,0.62,0.63,0.59,0.96,0,0,0,3.03,11.44,0.9,0,9.59,374.59,0,4.71,0,0,0,0,0,0,0,0,56.49,0,0,2.24,0,4.09
 72-82,0,0,0,0,2.91,14.93,0,321.27,0.95,0.55,4.31,43.42,0,0,0,2.73,1.16,0,2.82,0,60.23,3.33,4.32,9.78,753.99,0,9.43,3.21,0,0,5.24,0,0,1.5,0,89.59,0,1.75,6.71,0,0
 84-94,0,0,1.19,0,11.43,7.39,0,258.54,2.54,2.4,1.66,32.63,2.19,0,0,11.41,0,0.61,0.73,0.83,38.86,3.82,0.8,5.49,497.2,3.66,19.45,0,0,3.09,0.7,0,0,2.14,0,58.91,0,1.8,3.01,0.57,0
 96-106,0,0,1.78,0,17.3,21.07,0,324.16,5.68,0,8.71,41.92,3.66,0,3.63,2.52,0.87,0,5.66,8.06,63.19,2.44,5.07,15.27,595.5,1.2,20.8,4.11,0,4.45,2.24,0,0.89,8.34,0,48.11,0.82,1.94,13.47,4.25,6.78
108-118,0,0,0,0,19.26,2.78,0.62,310.24,7.46,2.75,2.83,64.84,0,0,1,5.67,0,3.93,2.65,0,54.97,0,8.21,5.42,772.51,1.78,24.59,1.55,0,8.58,0,0,0.44,2.06,0,32.98,0,0,13.05,7.76,1.55
120,0,0,0,0,36.62,23.67,0,238.96,6.82,3.14,0,66.53,0,0,0,1.48,0,5.27,0,0,46.78,1.49,0,6.53,1167.02,7.52,17.79,1.28,0,5.29,0,0,0,0,0,38.71,0,0,25.79,2.01,0
