stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,xanthophores
  3-4,15.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0
  5-6,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,17.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0
 14-21,0,0,0,0,1.1,0,0,0,0,6.54,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,15.22,0,0,0,0,0.93,0,0,0,2.35,0,0,0,0,1.28,6.77,1.18
 36-46,0,0,0,0,0,0.66,0,0,0,63.13,0,0,0,0,8.53,0,0,0,6.52,0,0,0,0,1.31,5.29,0
 48-58,0,0,0,0,0,0,0,0,0,27.06,0,0,0.51,0,3.52,0,0,0,8.06,0,0,0,0,0,0,4.72
 60-70,0,0,0,0,0,0,0,0,0,61.32,0,0,0,0.69,16.04,0,0,0,6.75,0,0,0,0,0,4.99,0
 72-82,0,0,0,2.52,0,0,0,0.53,0,33.55,0,1.02,0.51,1.69,2.31,3.16,0,0,8.05,0.75,0,0,0,0.97,4.6,0
 84-94,0,0.8,0,0.79,0,1.76,0,0,0,74.32,0,6.52,0,5.41,4.16,0,0,0,1.78,5.21,0,0,0,0,0,0
 96-106,0,1.93,0,13.79,4.43,0,0,10.27,0,92.48,0,3.84,0.58,7.28,4.72,0.86,0,0,13.47,3.09,0,1.32,0,2.37,1.48,0
108-118,0,0,0.44,20.28,2.21,2.94,0.64,13.06,0,96.03,0.65,15.78,2.11,17.25,3.55,3.66,2.25,0.7,25.64,3.35,0,3.15,0.41,0,1.73,0
120,0,0,0,16.63,0,0,2.31,22.73,0,141.1,0,9.12,0,31.9,1.51,0,0,0,6.62,1.31,0,0,3.36,0,0,0
