stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,392.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.08,665.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06,0,0,0,26.04,0,10.87,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.84,74.34,0,55.39,0,0,289.8,0,0,0,0,0,30.13,0,0,0,0,0,0,0,0,0,0,1578.12,82.39,0,0,491.92,0,3.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,66.57,0,168.67,0,22.47,213.33,0,0,0,0,0,11.04,0,0,0,0,0,0,0,0,0,0,1782.67,102.85,0,0,478.89,0,0,0,0,75.23,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.34,89.95,13.9,11.01,0,0.95,0,43.92,2.96,0,2.13,0,0.9,0,0,0,0,45.86,0,19.4,475.75,16.29,2.47,20.45,16.69,0,0.89,1.21,32.89,25.76,0,20.75,232.11,0,0,1.01,0,0
 24-34,0,0,2.61,0.75,20.57,2.85,30.45,0,5.93,0.89,37.63,0.67,0,1.88,0,1.57,0,5.87,0,1.56,54.05,0,24.26,749.13,7.88,19.65,12.57,0,0,13.38,0,0,3.12,0,9.82,254.59,0,0,4.74,0,0
 36-46,0,0,0,0,25.58,0,103.77,0,0,0.65,38.14,0,0,0.71,0,0,0,2.72,9.22,0,74.38,0,18.86,828.2,16.24,25.82,4.21,0,1.94,10.67,0.81,0,7.89,0,0,190.73,0,0,3.24,0,0
 48-58,0,0,0,0,5.53,1.96,215.82,0,0.53,1.1,61.78,0.71,0,0.69,0.56,0.55,0,1.95,1.04,0,89.43,6.96,8.59,679.39,15.25,14.44,3.07,0,0.53,2.36,0,0,3.62,0,0,152.85,0,0.84,5.05,0.9,0
 60-70,0,0,0,0,9.72,0,299.23,1.99,0,0.67,50.65,6.25,0.66,0.71,1.67,1.79,0,9.58,1.45,3.44,108.13,4.66,8.85,730.36,17.68,11.58,7.48,0,2.03,3.89,0,0,0,0,0,93.59,0,0.69,6.45,0.64,0
 72-82,0,0,1.8,0,16.94,5.31,226.45,0,0.55,2.47,44.13,3.69,0,0.51,4.05,0,0.57,2.26,0,0,186.18,13.96,7.81,534.95,15.5,19.31,12.96,0,0,2.34,0,0,0,0,0,112.9,0,1.17,3.47,1.78,0
 84-94,5.55,0,2.82,1.01,13.44,0,179.34,0,2.77,1.85,59.81,0,0,5.47,0,0,1.81,5.22,0,0.95,128.22,5.54,5.76,397.23,19.98,26.11,10.86,0,0,13.68,0,0,1.3,0,0,34.93,0,7.74,7.52,1.11,3
 96-106,0,0,3.94,0,14.29,5.99,143.73,0,0,3.45,63.42,6.11,0,6.07,2.71,5.91,0.77,13.4,0,0,79.48,11.81,4.23,293.71,15,27.46,28.82,0,0,17.61,0,0,1.63,0,0,14.77,3.83,4.31,2.31,2.04,0
108-118,0,0,0.97,0,21.41,3.85,138.69,0,2.21,2.02,55.59,2.53,0,0.61,1.48,0,0,5.2,3.72,0,104.65,8.17,6.08,515.73,31.93,31.7,26.7,0,0,6.72,0,0,2.31,1.53,0,30,4.29,0.53,8.1,3.48,11.43
120,0,0,3.64,0,20.02,0,222.48,0,0,0,82.72,2.75,0,10.68,0,0,0,4.1,0,0,109.83,6.16,13.93,704.84,30.7,37,5.24,0,0,10.55,0,0,4.05,0,0,9.15,0,1.56,1.23,2.64,0
