stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.07,0,0,0,0,0,0,0,0
  5-6,28.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.89,0,0,0,16,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,1.97,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0.94,38.18,0,5.2,0,0,0,0,0,0,4.69,0,3.04,0,0
 24-34,0,3.59,0,0,0,10.12,0,0,0.92,0,0,0,0,0,0,0.6,2.92,0,0,442.7,0,41.39,0,0,0.61,0,0,0,37.92,0,0,0,0
 36-46,0,4.17,0,1.07,0,9.46,0,0,0,0,0,0,0,0,0,2.18,1.58,0,1.27,1049.76,0,57.18,0,0,0,1.91,0,0,38.63,0,0,0,0
 48-58,0,1.82,0,1.54,0,40.34,0,0,11.49,0,0,0,3.42,0,0.43,0,7.47,1.13,2.12,1197.55,3.14,36.97,0,0,0.39,0.65,0.53,0,42,0,0,0,6.45
 60-70,0,0,0,0.68,0,69.35,5.31,0,3.36,0,0,0,4.06,0,0,0,18.27,0,4.27,1750.62,0,38.91,1.31,0,0,0,0,1.8,26.26,0.98,0,0,0
 72-82,0,0,0,8.08,1.34,186.13,0.5,3.28,12.99,3.31,2.48,0,2.49,0.88,4.1,0,69.93,0.93,3.39,2319.47,0,88.54,0.52,0,2.24,0,0,8.92,48.6,0,2.73,0.67,5.78
 84-94,0,8.48,0,7.22,3.27,177.21,0,0,22.13,0.87,0.75,0,0,0,0,0,32.53,0,0,1606.33,0,67.1,0,0,10.02,0,0,0.59,25.4,0,0,0,0.58
 96-106,0,0,0,28.16,14.39,188.56,0.61,0,25.02,0,0.89,0.89,0.74,0,18.96,0,19.8,0,3.44,1577.74,0.64,109.49,0.9,0,6.44,0,0,0,19.35,0,3.96,0.68,0.72
108-118,0,0.84,0,5.65,1.12,156.32,2.46,0,43.86,0.58,1.24,0,0.42,0,0,1.99,23.46,1.52,1.25,2700.12,0,78.51,0.78,0,0,0,0,0,27.14,0,0.93,0,0.96
120,0,0,0,40.94,1.68,151.53,0,0,16.47,2.27,0,0,0,0,12.36,0,45.15,15.02,0,3996.16,0,56.97,30.84,0,0,0,0,0,30.1,0,0,0,0
