stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,149.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,93.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,8.27,0,0,0,0,0,0,0,0,0
  7-9,9.7,12.91,0,14.24,0,0,23.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.84,3.22,0,0,23.27,0,0,0,0,0,0,0,0,0
 10-12,0,5.59,0,30.32,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.75,0,0,0,31.82,0,4.56,14.2,0,0,0,0,0,0
 14-21,0,0,0,0,4.87,1.02,1.28,0,0,0,3.69,0,0.86,0,0,0,0,0,1.01,8.92,0,1,55.12,0,0,0,0,0,5.08,0.86,0,5.83,7.27,0,0,0
 24-34,0,0,0,0.64,3.79,0,4.26,0,0.8,0,1.25,0,0,4.32,0,0,0,0,0.62,12.98,0,1.87,76.4,0.69,2.63,0,0,7.1,0,2.46,0,0,9.32,0,0,0
 36-46,0,0,0,0,0.66,0,5.35,0,0,0,4.43,0,0,0,0,0,0,0,0,4.57,0.89,3.94,113.07,0,0,0.67,0,5.29,0,0,0.58,0,29.03,0.62,0,0
 48-58,0,0,0,0,0.94,0,18.71,1.83,0,0,2.62,0,0,0,0,0,0,1.3,0,5.4,0,0.42,66.4,0,0,0,0,0,0,0,0,0,7.63,0,0,0.89
 60-70,0,0,0,0,11.17,0,55.52,0,0,0,4.08,0,1.77,1.6,0,0,0,0,0,5.64,0.82,0,125.04,0,9.4,0,0,0,0,0,0,0,27.79,3.4,0,0
 72-82,0,0,0,0,1.96,3.37,63.79,0,0,1.86,6.01,0,0,0.89,0.6,0,0,0,0,22.88,0,1.64,79.48,0,1.23,0.99,0,0.81,0,0.64,0,0,9.61,3.33,0,0
 84-94,0,0,0.8,0,3.12,3.54,31.73,0,0,0,4.19,0.97,1.95,1.02,0,0,0,0.57,0,21.87,5.61,0,56.06,0.7,0,0,0,4.05,0,0.96,0,0,5.55,0,0,0
 96-106,0,0,0,0,5.31,1.83,39.68,0,0.68,0,3.79,1.86,0,0,0,0,1.3,2,0,25.71,2.7,1.64,40.41,0,0,0,0,15.67,0,0,0,0,4.5,1.9,5.72,1.93
108-118,0,0,0.47,0,2,0.52,12.71,1.89,0.43,0,12.97,0.62,0,0,2.24,0.65,2.43,0,0,39.76,0,2.18,59.69,0,3.49,5.36,0,8.91,0,0,0,0,1.42,0,0,0
120,0,0,0,0,1.48,12.51,23.5,0,0,0,14.11,0,0,0,0,0,0,0,0,23.26,0,5.3,101.22,0,1.99,0,0,21.63,0,0,0,0,0,6.93,0,0
