stage,axial,blastomeres,epidermis,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,0,46.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,134.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,16.66,0,0,0,0,0,58,0,0,5.44,0,0,0,0,0
 10-12,0,0,0,3.67,0,0,0,0,0,27.64,17.92,0,23.49,0,0,15.39,0,0
 14-21,0,0,1.19,0,0,0,0,1,0,3.15,0,0,0.82,0,0.81,0,0,0
 24-34,0,0,0,0,1.25,0,0,3.74,0,14.95,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.75,0,0,1.21,0,0,10.16,0,0,0,0,0,0,0,0
 48-58,0,0,0,5.86,0,0,0,1.78,0.42,14.31,0,0,0,0,0,0.92,4.94,0
 60-70,0,0,0.57,6.29,1.65,0,0,0.98,0,14.03,0,0,0,4,0,0,3.48,0
 72-82,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.37,0,0,0,0,0.56,0.79,0,2.88,0,0,0,0,0,0
 96-106,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.07,0,0,0,1.31,0,3.25,0,0,0,0,0,1.36,0,1.11
120,0,0,0,0,0,1.24,0,1.3,1.06,6.33,0,0,0,0,0,0,0,0
