stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.11,1095.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.09,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.92,1489.6,0,0,0,0,0,0,0,0,0,0,44.17,0,0,0,0,0,0,0,0,0,0,26.22,0,0,0,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.13,32.73,0,17.81,0,0,48.15,0,0,0,0,0,42.48,0,0,0,0,0,0,0,0,0,0,917.55,34.29,0,0,251.91,0,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.89,0,27.04,0,0,75.61,0,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,656.96,21.7,0,0,229.81,0,0,9.83,0,21.42,0,5.05,0,0,0,0,0,0
 14-21,0,0,0,4.01,20.74,4.97,13.65,0,0,0,6.74,1.38,0,0,0,0,0,0,0,0.86,27.4,0,25.42,270.69,2.83,0,4.6,5.82,0,0,0,43.61,1.8,1.45,37.18,68.13,0,0,3.63,0,0
 24-34,0,0,0,2.43,8.72,0,28.13,0,0,0,10.66,0,0,0,0,0.83,0,0.82,0,0.59,25.07,0,21.03,351.29,0.74,1.63,5.24,0,0,0,0,0,1.49,0,2.83,64.33,0,0,5.84,0,2.08
 36-46,0,0,0,0,1.28,0,26.92,0,0,0,14.9,0,0,0,0,0,0.65,0,0,0,23.16,0,6.43,260.17,0,1.37,2.36,0,0,0,0,0,0,0,0,55.44,0,0,0,0,2.73
 48-58,0,0,0.39,0,6.51,0,67.2,0,0,0.69,26.87,0,0,1.83,0,0,0,0.85,0,0,39.21,0.63,3.41,299.63,0.39,0,0,0,0,0,0,0,0,0,0,59.48,0,0,0,0,0
 60-70,0,0,0,0,0,0,78.96,0,1.4,7.44,18.28,0,0,0.92,0,0,0.93,0,9.67,0,31.56,0.62,8.87,201.21,0,0.73,2.84,0,0,0,0,0,0,0,0,20.05,0,0,2.71,0,0
 72-82,0,0,0,0,3.82,4.78,99.57,2.9,0,10.05,30.98,1.38,0.59,0.7,1.76,0,0,1.33,0,0,65.31,1.02,4.76,416.11,0,0,6.69,0,0,0,0,0,0,0,0,84.35,1.69,2.62,7.89,0.57,0
 84-94,0,0,0,0,2.37,0,87.67,0,0,0.87,8.38,0,0,1,6.18,2.72,14.75,0,0,0,63.99,0.56,4.03,190.56,2.13,0,0,0,0,0,0,0,0,0,0,52.31,0,0.84,3.96,0,0
 96-106,0,0,0,0,1.88,5.99,64.12,0,0,0.64,35.33,1.73,0,1.74,0,1.06,1.03,3.03,0,0,62.21,3.02,12.87,250.35,0,0.67,1.22,0,3.45,0,0,0,0,0.84,0,18.88,0,0.9,7.35,0,0
108-118,0,0,1.03,0,6.75,2.1,59.7,0,0.51,2.54,30,1.79,0,1.21,0,1.95,0.71,0,0,3.06,64.02,5.52,7.92,241.51,0.43,2,3.6,0,1.63,0,0,0,0,0,0,16,1.01,2.27,8.63,0,2.55
120,0,0,0,0,5.91,0,30.01,0,0,0,37.56,0,0,11.66,0,0,0,0,0,0,62.96,0,8.44,189.11,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,17.64,0
