stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,29.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,3.57,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,19.9,0,0,10.08,0,7.87,0,0,0,0
 14-21,0,1.91,11.87,0,0,0,0,1.09,0,0,0.86,0,0.93,0.88,0,2.41,14.27,0,0.86,1.12,0,0,2.51,2.02,0,0
 24-34,0,0,0.74,0,4.99,0,0,0,0,0,2.97,0.7,0,1.31,0,0,23.45,0,0.69,0,6.67,0,0,0,4.83,0
 36-46,0,0,0.84,0,5.03,0,0,0,0,0,1.13,1.36,0,0,0,0,10.47,0,0,0,9.67,0,0,3.55,0,0
 48-58,0,0,0.39,0,5.44,0,1.63,0,0,0,0.5,0,0,2.07,0,0,16.46,0,0,0,3.89,0,0,0,0.75,0
 60-70,0,0,0,0,28.38,1.18,3.23,0,0,0,0.58,0,0,6.85,0,0,34.46,0,0,0,8.78,0,0,6.71,0,0
 72-82,0,0,2.82,1.13,17.24,0,4.46,0,0,0.58,0,0,0,7.26,0,0,31.2,0,0,0,2.78,0,0,0.62,0,0
 84-94,0,0,0,0,17.01,0,10.12,0.89,0,1.16,0,0,0,10.38,0,0,3.67,9.56,0,0,33.8,0,0,0,0,0
 96-106,0,0,0.78,3.18,5.92,0.57,3.73,0,0,0,0.69,0,6.49,1.76,0,0,17.06,0,0,0,13.09,0,0,3.24,0.68,0.69
108-118,0,0,2.19,0,7.9,0,3.38,0,0,0.81,0,1.74,0,4.14,0.44,0,14.78,0,0,0,6.34,0,0,2.39,2.19,0
120,0,0,3.9,0,2.39,0,0,0,0,0,1.25,0,0,0,0,2.23,0,0,0,0,9.84,0,0,0,0,0
