stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.94,685.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.77,853.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67,14.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.21,4.63,0,40.41,0,0,0,57.31,0,0,0,0,0,29.62,0,0,0,0,0,0,0,0,0,0,439.44,42.2,0,0,141.06,0,8.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.25,0,14.57,0,33.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.83,15.75,0,0,96.53,0,9.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23.68,1.91,0,1.22,0,0,0,0.83,0.9,0,0,0,0.89,0,0,0,0,14.34,0,1.91,127.49,5.79,0,2.35,1.32,0,0,14.71,3.63,0,11.48,28.27,0,0,4.14,0,0
 24-34,0,0,0,0,4.76,2.3,0,10.28,0,0,0.69,5.17,0,0,0.89,0.8,2.1,0,0,0,0,12.59,0,4.51,164.6,0.62,0,1.94,0,1.61,0,0,0,11.52,3.49,40.32,0,0,13.28,0,0
 36-46,0,0,0,0,4.91,0.73,0,40.3,0,2.74,0.79,14.42,0.56,0,0,0,0,0,1,0,0,34.26,0,4.29,141.15,1.86,2.65,13.47,0,10.36,0,0,0.79,0,0,33.64,0,0,5.14,0,7.07
 48-58,0,0,0,0,5.68,0,0,52.5,0.59,3.16,1.44,13.62,0,0,0.55,4.82,0,0,0,0,0,29.3,0,1.51,152.67,0.44,0,0,0,1.9,0,0,0.61,6.47,0,18.19,0,0.44,4.51,0,0
 60-70,0,0,0,0,3.15,0,0,96.35,0,7.06,11.61,16.98,0,0,0,0,0,4.06,0,0,0,22.14,1.32,3.26,107.22,1.87,0,1.23,0,10.76,0,0,0.73,1.33,0,39.45,0,0,1.83,0,0
 72-82,0,0,0,0,2.39,0,0,39.39,2.9,0,0,15.45,1.23,0,0.53,0.54,0,0,0,1.32,0,20.15,2.75,3.03,94.4,0.91,0,0,0,3.36,0,0,0,0,0,1.81,0,2.44,4.09,1.24,0
 84-94,0,0,1.05,0,6.95,3.77,0,23.04,0,1.64,2.08,11.93,0.73,0,0,1.52,1.78,0.61,0,0,0,14.91,0.66,0.96,58.91,1.25,1.39,1.2,0,5.71,0,0,1.91,0,0,4.12,1.5,0.71,1.63,2.93,7.39
 96-106,0,0,0,0,2.09,0.59,0,33.17,0,0,0,11.28,0,0,0,0,0.86,0,1.64,0,0.98,10.42,0,0.64,49.23,0,1.34,0.6,0,0,0,0,2.22,0,0,0,1.84,0,0,0,0
108-118,0,0,0,0,2.1,0.58,0.58,19.77,0,0.6,0,7.67,0,0,0,0,0,0.77,0,0,0.94,22.45,0.72,2.76,49.85,0,0,2.65,0,4.08,0,0,0.45,0,0,0.42,4.38,0,1.24,0,0
120,0,0,0,0,2.02,2.03,0,15.23,0,0,0,11.98,1.02,0,0,1.66,1.28,0,0,3.79,0,30.28,0,0,106.44,2.85,0,3.28,0,5.85,0,0,0,0,0,4.01,0,0,1.67,0,0
