stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.89,18.72,12.88,20.82,0,19.28,0,0,0,1.84,0.85,101.32,0,1.93,0,5.03,100.98,0,160.15,240.6,9,0.85,0.81,4.01,0,2.94,699.19,3.07,2965.77,14523.37,95.44,0,2.02,0,2.44
 24-34,0,4.52,2.98,1.94,0,18.14,270.29,3.01,0,2.15,0.74,43.78,0.9,0.86,0,1.53,24.13,1.21,140.15,190.8,0.6,2.63,0,0,0,22.81,11.34,5.45,535.71,3203.75,41.01,0,2.83,0,1.93
 36-46,0,1.7,2.38,3.29,0,13.59,297.47,0,0,2.24,0,15.81,0,0,0,0,14.28,0,82.34,83.71,0,0,0.58,0,0,1.24,0,0,142.02,133.65,6.27,0,15.36,0,0
 48-58,0,1.14,0.37,0,0,27.1,200.51,0,0,5.58,0,7.29,1.05,0,0,0,5.02,0,168.45,71.61,0,0,7.03,0,0,0.43,0,0.8,78.16,2.21,26.97,1.62,4.18,0,5.92
 60-70,0,0,0,0,0,15.95,152.1,0,0,1.79,0,6.46,0,0,0,0,3.69,0,138.37,45.47,0,0,0.65,0,0,0,5.51,0.76,48.32,0,7.82,2.97,0,0,0
 72-82,0,0.6,1.72,0,0,24.79,126.53,0,0,6.03,0,3.56,0,0,0,0,8,0,114.48,69.54,0,0,2.11,0,0,0,0,0.53,18.68,0,5.67,3.75,0,1.18,0
 84-94,0,0,4.19,13.82,0,12.96,129.07,0,0,0.55,0.67,6.59,0,0.75,0.63,0,18.64,0,91.47,33.08,0,0,2.8,0,0,1.41,0,0,18.29,0,7.73,1.86,0,1.85,0
 96-106,0,0.61,0,1.42,0,50.9,107.77,0,0,1.26,2.13,11.6,2.13,0,0,0,10.4,0,73.99,77.71,0.59,0,0,0,4.67,2.68,0,0,15.48,0,2.67,3.31,8.76,0,9.88
108-118,0,0,2.94,10.18,1.12,27.64,72.44,0,8,6.23,1.64,2.44,0,0.51,0,1.71,7.75,0,81.14,67.16,0,0,1.38,0,0,6.58,0,0,18.84,0,0,5.06,0.74,6.71,0.68
120,0,0,12.94,0,3.02,0,59.89,0,0,3.35,3.28,6.3,0,0,0,14.52,15.07,0,103.31,154.01,0,9.47,0,0,0,1.08,1.12,9.54,12.04,0,0,0,0,0,6.17
