stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,57.35,617.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.01,1644.4,0,8.02,0,0,0,0,0,0,0,0,21.86,0,0,0,0,0,0,0,0,0,0,0,88.24,0,0,0,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0
  7-9,38.74,60.24,0,38.74,0,0,96.68,0,0,0,0,0,44.45,0,0,0,0,0,0,0,0,0,0,0,1032.78,6.84,0,0,309.28,0,0,5.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,29.32,0,0,73.56,0,0,0,0,0,13.97,0,0,0,0,0,0,0,0,0,0,0,804.17,38.15,0,0,315.07,0,0,10.22,6.12,23.16,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,0.91,6.53,1.37,3.76,0,0,0,3.78,0.82,0,0,0.99,0,0,0,0,0,3.54,0,0,1.87,62.53,4.77,0,0,0.84,0,0,0,7.37,1.63,0,19.94,30.28,0,0,0,0,0
 24-34,0,0,0,0.61,10.86,0,18.18,0,1.45,0.84,5.44,0,0,0,0,3.4,0,0,0,0,17.23,0,0,6.96,208.99,2.16,4.15,0,0,0,5.49,0,0,0,0.99,4.88,42.46,0,0,14.55,0,0.95
 36-46,0,0,0,0,2.85,0,51.26,0,0,0.57,13.78,0,0,0,0,0,0,0,0,0,21.95,0,0,7.08,192.86,0.58,0,0.83,0,0,5.64,0,0,0,8.45,0,46.06,0,0,2.67,0,0
 48-58,0,0,0,0,3.06,2.06,73.08,0,0,0.51,15.66,0,0,0,0,0,0,0.46,0,0,21.37,0,0,6.33,176.88,0,1.04,0.82,0,0,0.56,0,0,0,0,0,38.8,0,0,4.28,0,0.63
 60-70,0,0,0,0,12.54,0,97.72,0,0,0.86,18.39,0,0,1.45,3.55,0,4.51,2.2,0,0,31.16,0,0.7,4.97,163.23,2.01,0,5.99,0,0,5.25,0,0,0.93,0,0,23.71,0,0.67,1.55,0,2.83
 72-82,0,0,0,0,3.64,6.26,177.04,0,0,0,32.06,0.81,0,0,1.05,0,0,0,0,0,33.96,0,0,5.07,191.74,0,3.03,2.72,0,0.71,11.66,0,0,2.33,0,0,37.08,0,0,2.93,0,7.98
 84-94,0,0,0,0,4.99,26.02,84.53,0,2.78,1.93,13.51,1.61,1.22,2.91,0,0,0,0,0,3.09,34.32,0,0,1.35,122.9,0.76,2.01,1.77,0,1.65,11.66,0,0,0.67,0,0,35.17,0,0,11.98,2.92,0
 96-106,0,0,0.61,0,7.65,1.52,73.85,0,0.66,2.48,24.54,0.62,0,0,4.25,0,0,3.05,0,0,51.56,2.75,0.59,3.1,110.4,2.62,5.59,4.94,0,0,7.66,0,0,0,0.6,0,4.33,0,0,2.81,1.86,0
108-118,0,0,0,0,8.51,1.14,73.96,6.98,0,0.94,24.26,3.42,0,0,0.54,0.93,1.58,0.5,0.65,0.5,49.2,0,0.94,1.73,161.53,0.95,0.59,6.61,0,0,8.03,0,0,0.72,0,0,14.5,0.52,4.76,9.21,0,0
120,2.37,0,0,0,11.69,23.97,56.49,4.1,0,3.06,43.3,0,0,0,13.23,0,0,0,0,0,72.98,0,0,9.72,348.69,0,0,3.45,0,0,13.6,2.5,0,0,0,0,12.84,0,1.54,1.76,1.8,0
