stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,46.24,1572.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0
  5-6,7.03,175.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,10.17,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,158.16,1.37,0,1.38,0,0,0,2.12,0,0,0,0
 24-34,0,0,0,1.46,0,1.63,0,6.57,0,0,0,0,0,0,0,0,0,5.54,2.34,1.55,0,0.82,60.4,711.84,1.24,0,0,0,0.65,1.27,43.33,0,0,0,0
 36-46,0,0,0,2.89,0,11.89,0.68,11.84,0,3.09,0,0,0.65,0,0,0,0,0,4.5,1.39,0,0,119.17,735.55,0.6,0,0,0,0.88,0,41.46,0,0,0,0
 48-58,0.77,0,0,5.41,0,12.11,0,29.16,0.67,19.71,0,10.18,0,0,0,0,0,0,8.56,3.56,0.54,0,172.56,660.36,5.92,0,0,5.09,0.38,0,66.17,0,0,0,2.47
 60-70,6.01,0,0,8.38,0.57,38.95,0,28.48,0,57.92,0,3.69,0,0,0,0,1.13,0,9.35,0.65,0,1.2,132.08,568.69,1.53,0.62,0,10.35,0,0,48.21,0,0,0,0
 72-82,0,0,0.93,5.6,0,40.04,0,39.72,1.96,97.39,0,4.31,0.68,0,0,0,4.15,0,29.42,5.43,0,6.52,162.61,407.99,6.72,0.54,0,0,0.88,0,79.12,0,0,1.32,0
 84-94,1.23,0,0,13.92,0,50.2,0,68.02,0,127.97,0,12.67,0,0.65,0,0,0,0,42.37,9.1,0,3.56,143.71,627.08,4.28,0,0,0.75,0,0,78.05,0,0,0,0
 96-106,1.12,0,0,25.21,0,44.68,1.47,46.22,0.81,124.4,0,0,1.36,0,1.36,0.63,5.01,0,46.13,3.89,0,2.56,76.3,431.28,4.39,0,0,8.93,0,0,78.38,1.18,0.63,0,0
108-118,3.13,0,0,20.1,1.96,46.28,0,148.92,1.66,107.92,1.76,0,0,0,1.67,1.64,2.04,0,51.82,9.05,0,5.15,76.87,520.54,3.88,0.43,0,0,0,0,63.01,0,1.9,0,0
120,0,0,0,10.71,0,59.4,0,105.35,1.83,142.67,2.34,0,0,0,0,0,1.69,0,99.42,0,11.12,2.4,198.51,799.9,0,0,0,0,0,0,78.01,0,6.76,0,0
