stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,156.93,2303.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.47,0,0,0,0,0,0,0,0
  5-6,171.56,3459.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.35,7.03,0,0,41.64,0,44.54,0,0,0,0,0,0,0,0
  7-9,19.82,141.47,142.44,0,0,357.23,0,0,0,0,69.38,0,0,0,0,0,0,0,0,0,2970.66,46.08,0,0,856.44,0,0,27.73,0,0,0,0,0,0,0
 10-12,0,107.1,120.5,0,0,194.67,0,0,0,0,26.59,0,0,0,0,0,5.32,0,0,0,2444.95,23.92,0,0,858.67,0,0,5.47,0,88.3,0,3.51,0,0,0
 14-21,0,0,4.84,18.13,7.08,16.97,0,0,9.29,0.82,0,0,0,1,0,0,0,32.34,0,14.56,379.93,6.04,0.83,1.97,10.36,0,8.36,0,27.46,0,16.93,83.39,0,0,3.73
 24-34,0.88,0,0.59,12,4.45,63.27,0,0,6.27,0,0,1.36,0.71,0,0,0,0,67.57,0,11.2,455.74,1.37,0.64,0.61,0,0,7.86,0,0,0,0,81.29,0,0,11.36
 36-46,0,0,0.56,7.05,0,104.41,0,0,9.11,0,0,0,2.77,0,13.22,0,0.66,51.4,3.8,7.57,343.73,0,0,3.87,0,0,6.34,0,0,0,0,70.62,0,0,0.56
 48-58,0,0,0,7.35,1.62,89.59,1.02,0.62,24.65,1.77,0,0.48,1.8,0,0.41,0.66,2.97,40.29,0.43,11.18,87.94,0,0,1.33,0,0,16.04,0,0,0,0,9.77,0,0,0
 60-70,0,0,0,9.88,0.66,26.26,0,1.6,10.3,0,0,0,1.9,0,0,2.21,3.19,18.88,0,0.93,58.47,0,0,0,0,0.84,3.21,0,0,0.6,0,2.54,0,0,1.05
 72-82,0,0,0,1.13,0,7.06,0.88,1.05,6.28,0.84,0,1.16,1.86,0.88,0,0,0.62,14.74,0.72,2.19,16.89,1.43,1.8,0,0,0,2.73,0,0,0,0,0,0,0,2.14
 84-94,0,0,0,4.56,0.64,17.9,0,0,9.61,0.68,0,0,0,0.86,0,0,0,15.55,0.66,5.38,27.53,1.8,0,2.39,0,0,1.26,0,0,0,0,0,0,0,1.55
 96-106,0,0,0,0,0,11.32,0,0,6.7,2.32,0,1.61,2,1.69,0,0.75,1.45,8.44,0,0,10.32,0,0.87,1.14,0,0,0,0,0,0,0,2.36,0,0,3.04
108-118,0,0,0,4.3,1.02,18.48,0,1.04,15.67,0.55,0,0,1.82,0,0,0.87,0,14.43,0,4.73,22.82,0,0,3.76,0,0,0.98,0,0,0,0,0.45,0.43,1.53,2.32
120,0,0,0,3.89,12.5,29.17,0,0,32.41,0,0,1.54,7.47,0,12.97,0,0,15.99,0,5.24,43.96,0,0,4.89,0,0,2.93,0,0,0,0,0,0,0,3.13
