stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,21.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,0,0,0,0,6.51,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,3.51,0,0,0,0,0,0,0,0
 10-12,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07,0,0,0,5.11,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.8,2.64,0,0,0,0,6.64,0.85,0,0,0,0,0,0,0,4.5,2.85,0,0,0,0,2.79,2.86,0.85,13.51,0,0,0
 24-34,0,0,0,0.73,0,0,0.76,0,0,0.97,0,1.04,0,0,0,1.87,0,0.6,12.5,0.74,0,0.61,0,2.09,0,1.57,0,8.87,0,4.62,0
 36-46,0,0,0,0.65,0,0,1.96,0,0,2.01,0,0,0,0.62,0,2.87,0,0,2.47,0,0,0,0,0,0,0.58,0,5.61,0,1.33,0
 48-58,0,0,0,0,0,0,2.15,0,0,11.62,0,0,3.44,0,0,9.54,0,0.9,10.09,0,1.85,0,0,1.77,0,0.97,0,2.91,0,0.5,1.67
 60-70,0,0,0,0,0,0,5.9,0,0,5.25,0,0,0,0,0,7.91,0,0,4.99,0,0,0,0,1.46,0,0,0,0.92,0,0,0
 72-82,0,0,0,0,0,0,8.64,0,0,8.38,0,0,0,0,0,10.75,0,0,3.14,0,1.32,4.1,0,1.71,0,4.52,0,3.36,0,0,0
 84-94,0,0,0,1.52,0,0,1.93,0,0.62,2.83,0,0,0,0.8,0,1.73,0,0,5.94,0,0,0,0,7.33,0,1.29,0,1.36,0,0,0
 96-106,0,0,0,0,0,0,4.28,0,0,5.45,1.03,0,0,0,0,8.86,0,0,6.12,0,0.66,0.77,0,7.8,0,0,0,0,0,2.19,0
108-118,0,0.91,0,0.54,0,0,1.38,0.99,0,9.79,2.81,0,0.61,0,1.65,9.89,0,0.56,1.84,0,0.89,1.21,0,0.56,0,1.13,0,8.07,0.77,0,3.71
120,0,0,0,1.23,0,3.41,0,0,0,0,0,0,0,1.72,0,13.53,3.54,1.09,10.96,0,0,0,0,0,0,0,0,0,0,0,0
