stage,axial,blastomeres,hatching_gland,neural,pronephros
  5-6,6.15,22.52,0,0,0
  7-9,0,0,4.79,4.13,0
 10-12,0,0,0,38.91,10.53
 36-46,0,0,0,0.6,0
