stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,31.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.98,0,0,0,0,0,0,16.65,8.29,0,0,0,0,0,0
 10-12,0,14.11,0,0,0,0,0,0,23.47,9.11,14.54,0,0,0,0,0
 14-21,0,0,0,0.94,0.91,0,0,0,6.17,0,0,0,4.15,2.63,0.92,2.25
 24-34,0,0,0,0,0,0,0,0.89,16.89,0,0,0,0,0,0,2.64
 36-46,0,0,0,0,0.83,0,0.8,0,7.18,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.71,0,2.68,0,1.49,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.64,3.04,1.12,0.57,0,0,0,2.83,0,0,0,0
 72-82,0,0,0,0,1.85,0,0.56,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,11.56,3.52,1.42,0.68,0,0,0,0,0,0,0
 96-106,0,0,0.62,0,0,0,9.12,0,2.91,0,0,0,0,0,0,0
108-118,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.77,10.4,0,0,0,0,0,0,0,0,0
