stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.48,1704.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.11,0,0,0,0,0,0,0,0,0
  5-6,101.22,1302.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.41,17.23,0,0,13.13,15.35,0,0,0,0,0,0,0,0,0
  7-9,12.18,20.95,18.3,0,0,51.95,0,0,0,0,18.71,0,0,0,0,0,0,0,0,0,0,300.08,12.54,0,0,61.2,0,4.58,0,0,0,0,0,0,0,0
 10-12,0,0,3.2,0,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.5,0,0,0,21.21,0,0,0,12.7,0,0,0,0,0,0
 14-21,0,0,0,10.89,2.99,5.91,0,0,0.84,0,0,0,0,0,0,0,0,5.04,0,0,2.54,93.08,0,0,0,2.6,1.54,0.9,7.26,0,4.86,19.13,0,0,1.63,0
 24-34,0,0,0.86,2.23,0,11.39,0,0.72,2.67,0,0,0,0,0,0,0.84,0,8.38,0,0,2.44,90.17,0,3.03,0,0,0.98,0,0,0,0.86,16.64,0,0,7.4,1.1
 36-46,0,0,0,0,1.1,5.09,0,0,10.47,0,0,0,0,3.33,0,0,0,8.81,0,0,2.22,58.15,0,3.01,0,0,2,0,0,0,0,12.86,0,0,0.74,4.18
 48-58,0,0,0,0,0,9.3,1.82,0,8.28,0,0,0,0,0,0,0,0,8.43,0,1.93,1.82,20.5,0,1.36,0.44,0,0.46,0,0,5.81,0,9.35,0,0,0.44,2.19
 60-70,0,0,0,1.54,0,4.37,1.19,0,6.98,0,0,0,0,2.45,0,0,0,18.45,0,0,1.58,25.09,0,6.78,0,0,0.65,0,0,0,0,12.1,0,0,0,0
 72-82,0,0,0,0.62,0.65,9.72,0,0.59,14.52,0,0,0,0,0,0,0,0,13.52,0,1.72,3.56,29.14,0,0,0,0,0,0,0,0,0,10.06,0.62,0.53,0,0
 84-94,0,0,0,2.58,0,2.92,0,0,2.68,0,0,0,0.6,0,0,0,0.96,12.84,0,1.68,3.1,11.08,0,4.75,1.09,0,1.77,0,0,0,0,5.32,0,0,0,0
 96-106,0,0,0,4.26,0,3.48,1.88,1.28,20.72,2.69,0,2.2,0,0,0.67,0,0,21.65,1.63,0,3.09,24.84,0,2.61,0.82,0,0,0,0,0,0,6.05,0.82,0,0.92,3
108-118,0,0,0,4.43,0,17.07,0.48,2.28,7,1.65,0,0,0,4.45,0,0,0,14.47,0,0,2.99,21.63,0,1.83,0,0,1.02,0.79,0,0,0,0.44,0,0.64,0,2.17
120,0,0,0,6.8,0,7.57,1.21,0,3.09,0,0,0,0,0,0,0,0,11.04,0,0,13.51,21.35,0,1.26,2.25,0,1.45,1.53,0,0,0,0,0,0,0,0
