stage,blastomeres,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,somites,spinal.cord,vasculature
  5-6,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,14.84,0,0,0,0,0,5.24,11.5,0,0,0,0,0
 10-12,0,9.59,0,0,0,0,0,0,0,45.67,0,0,0,0,0,0
 14-21,0,0,0,3.02,0,0,0,0.83,0,1.92,0,0,0,1.14,2.08,0
 24-34,0,0,0,4.3,0,0,0,1.95,0.63,9.9,0,9.42,2.83,0,3.04,0
 36-46,0,0,0,9.72,0,0,0,3.87,0,15.31,0,0,1.34,0,2.13,0
 48-58,0,0,1.93,25.12,0,0,0,8.91,0,11.92,0,0,5.77,0,1.69,0
 60-70,0,0,4.75,7.66,1.4,0,2.11,1.24,1.02,14.12,0,0.96,4.05,0,1.03,0
 72-82,0,0,0.72,3.04,0.96,0,0,7,0,7.3,0,10.97,0,0,0,0
 84-94,0,0,0,0.73,0,0.72,0,0.75,0,1.76,0,9.68,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,13.59,0,18.9,2.23,0,0,0.79
108-118,0,0,1.13,2.37,0,0,0,0.52,0,3.55,0,1.47,2.98,0,0,0
120,0,0,4.66,22.22,0,0,0,0,0,0,0,0,1.01,0,0,0
