stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0
 14-21,0,2.78,0,0,0,0,58.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,7.98,0.8,0,1.15,0,137.38,0,0,0,2.44,0,0,0,5.2,0,0,0,0,0,0,4.68,0,0
 36-46,0,0.69,0,0,0,0,280.14,0,0,0,0,0,0,0,9.65,0,0,0,0,0,2.17,5.15,0,0
 48-58,0,6.18,2.46,0,0,0,225.79,0,0,0,1.52,0,0,0,24.01,0,0,0,0,0.94,0,12.24,0,0.93
 60-70,0,37.38,3.15,0,0,1.12,267.27,2.85,0,0,29.99,0,0,0,17.69,0,0,0,0,0,2.26,23.14,0,0
 72-82,0,26.17,7.42,0,2.14,0.9,257.83,0,0,0,72.56,0,0,0,6.32,0,0,0,0,0,4.26,20.89,0,0
 84-94,0,29.96,0,0.77,2.37,0,313.95,0,0,0,22.22,0,5.51,1.41,11.81,0,0,0,0,0,0,12.3,0,0
 96-106,5.8,134.51,13.07,0,1.72,0.66,402.01,0,0.83,0.63,72.75,1.15,20.11,0,33.81,0,0.72,0,0,0,0,38.3,0.61,0
108-118,0.92,49.26,19.6,0,1.84,0,353.97,0,0,0,18.15,0,0,3.12,26.29,0.59,0,0,5.33,0,0,37.15,0,2.99
120,2.95,113.94,6.66,0,0,0,427.06,0,1.13,0,13.48,0,0,6.08,59.41,0,0,0,0,0,0,62.06,0,0
