stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.2,164.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.09,305.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,0,29.63,0,0,0,0,0,0,0,0,0
  7-9,6.46,5.63,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.79,17.03,0,0,50.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.06,0,5.32,0,0,14.91,0,0,0,0,3.33,0,0,0,0,0,0,0,0,3.87,106.43,0,0,0,106.16,0,0,0,7.34,0,8.17,0,0,0,0,0
 14-21,0,1.36,0,1.01,20.25,1.05,0.81,0,0,0,0,0,0,0,0,0,0,0,16.55,0,45.31,43.2,16.28,0,0,0,0,0,38.6,65.51,0,91.65,22.6,0,0,0,0
 24-34,0,0,0,5.99,8.89,0,7.15,0,0,0.99,0.97,0,0,0,0,0,0.96,0,24.09,0,1.42,76.79,3.85,2.21,1.32,0,0,0,0,119.14,0,4.08,13.64,0,1.26,0,0
 36-46,0,0,0,0,2.48,0,3.74,0,0,8.37,1.81,0,0,0,2.53,0,10.68,0,15.65,0,4.3,45.8,8.64,0,0,0,0,0,0,90.92,0,0,13.51,1.23,0.65,0,0
 48-58,0,0,0,0,0.4,0,18.68,0.44,0,1.08,0.96,0,0,0,0,0,0,0,15.96,0.39,2.55,42.09,11.09,0.72,0,0,1.22,0,0,61.6,0.4,0,11.93,0,0,0,2.23
 60-70,0,0,0,0,0,2.21,21.75,0,0,3.86,0,0,0.76,0,7.15,0,0,0,45.17,5.4,0,58.91,0,0,0.95,0,0,0.62,0,33.98,0,0,5.47,0,0,7.72,0
 72-82,0,0,0,0,0.84,0,21.59,0,0,22.13,0,0,0,0,3.03,0,0,0,68.34,0.65,4.67,44.82,0.56,0,0,0,0,0.6,0,50.64,0,0,2.86,0.9,5.17,11.16,0
 84-94,0,0,0,0,0.74,0,33.74,0,0.65,23.96,0,0,0,0,2.86,0,8.33,0.72,39.01,1.32,0,9.95,1.99,0,0,0,0,0,0,33.32,1.01,0,0,0,2.39,22.92,0
 96-106,0,0,0,0,3.96,0,44.76,0,0,53.67,0.59,0,0,0.56,2.64,0,0,0,82.42,0,9.48,19.09,2.84,0,0,0,4.5,5.39,0,52.19,0,0,0.67,0,1.8,8.6,0
108-118,0,0,0.41,0,0,0,20.31,0,0,34.91,0,0,0,0,6.13,0.5,0,0,59.75,1.55,4.39,28.51,9.97,0,0,0,0,0,0,25.94,0,0,0,1.36,2.28,7.51,0
120,0,0,0,0,11.72,0,59.06,0,2.41,18.31,0,0,0,0,0,0,0,0,71.96,7.65,5.19,42.9,6.59,0,3.01,0,7.72,0,0,8.56,0,0,0,0,0,0,0
