stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,22.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.25,306.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.15,0,0,8.76,0,273.66,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,48.44,55.88,0,0,121.8,0,0,0,0,18.27,0,0,0,0,0,0,0,0,0,0,0,3632.1,33.54,0,1581.49,0,74.59,11.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,161.06,133.33,0,0,48.25,0,0,0,0,55.68,0,0,0,0,0,0,0,0,0,0,0,4201.18,52.26,0,2370.93,0,17.43,0,9.22,53.71,0,0,0,0,0,0,0,0
 14-21,0.93,0.9,1.99,51.29,49.17,1.21,0,0,0,0,0,2.14,0.81,11.01,0,0,0,0,11.16,0,0,7.72,19.33,31.04,0,532.73,0,17.58,0,76.4,0,0,26.47,30.67,0,0,62.78,0,0
 24-34,0,0,1.26,4.64,2.75,2.72,1.64,6.08,0,0,0.76,26.13,0.8,0,0,1.26,0,0,5.52,1.09,0,5.24,22.73,4.77,0,0,0,1.27,0,0,2.89,1.01,30.8,24.07,0,0,372.31,0,3.68
 36-46,0,0,0,0.57,0,4.59,0,4.1,1.24,0,0,5.23,0.65,0,0,0,5.06,0,23.12,0,1.14,3.71,53.6,0,0,0,0,0,0,0,0,0,0,10.1,0,0,225.94,0,14.02
 48-58,0,0,0,3.71,0,61.9,8.05,27.62,1.58,0,0,11.75,0.93,0,0,0,0,0,35.36,0,0,7.5,81.51,0.56,0,0,0,0,0,0,0,0,0,9.02,0,0,183.76,0,0
 60-70,0,0,0,1.44,4.64,264.43,0,12.65,9.99,0.72,0,23.33,3.61,0,0,0,0,2.31,59.42,0,0.93,2.28,99.93,0,0,0,0,0.58,0,0,0,0,0,6.53,0,0.84,129.74,2.43,0
 72-82,0,0,0,4.56,0,356.32,4.84,20.3,8.97,0,0,6.14,8.78,1.86,3.13,0,0,0,108.24,0,6.66,4.36,101.2,0,0,0,0,0,0,0,0.49,0,0,10.33,0,8.83,288.61,7.6,3.58
 84-94,0,0,0,2.83,0,315.62,0,14.64,16.27,0,0,6.98,18.45,1.58,2.52,0,0,5.59,112.7,1.19,8.21,1.02,54.5,1.34,0,0,1.66,0,0,0,0,0,0,0.65,0,2.13,249.61,1.31,0
 96-106,0,0,0,3.83,13.21,363.76,0.66,5.49,17.45,0.56,0,10.17,20.94,1.62,1.66,0,0,0.67,95.1,0,14.72,0.56,54.83,0.81,1.54,0,5.81,2.34,0,0,0.6,0,0,3.18,0,0.76,238.27,10.09,0
108-118,0,0,0,1.8,9.3,300.72,0,13.65,8.12,0,0,3.28,22.49,0.41,8.22,0,0,0,94.79,0.48,17.43,0,73.49,0.69,5.66,0,0,0,0,0,1.44,0,0,2.09,0.52,0,179.22,6.48,0.59
120,0,0,0,2.83,0,204.99,0,8.13,50.86,0,0,0,15.89,0,0,0,0,0,116.01,0,0,1.05,62.92,0,3.34,0,0,0,0,0,0,0,0,7.93,0,3.8,271.77,1.05,0
