stage,epidermis,eye,glial,gut,ionocyte,liver,neural,olfactory,periderm,spinal.cord
 36-46,0,0,0,0,0.98,0,0,0,0,0
 60-70,0,0,0,0,0,1.72,0,0,0,0
 72-82,0,0,0,0,2.11,3.57,1.7,0,0,0
 84-94,0,0.94,0,0,2.98,0,2.94,0,0,0
 96-106,1.69,0,0,13.06,1,40.84,16.74,1.59,2.64,1.89
108-118,0,0,1.23,3.39,0.56,50.45,11.56,0,0.43,0
120,0,11.25,0,15.66,0,6.07,23.12,0,0,0
