stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.01,788.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.58,1036.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.37,13.98,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.68,77.56,87.33,0,0,149.51,0,0,0,0,63.91,0,0,0,0,0,0,0,0,0,0,1165.05,10.34,0,0,447.95,0,10.65,13.59,0,0,0,0,0,0,0,0,0
 10-12,0,45.66,45.38,0,11.1,140.03,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,1219.76,19.79,0,0,477.13,0,0,6.79,19.29,32.1,7.22,0,0,0,0,0,0
 14-21,0,0,2.06,30.5,9.84,17.46,0,0,6.16,3.24,0,0,0,3.86,0,0,0,16.1,0,0,7.6,285.02,0.81,0,1.24,5.4,0,11.15,0,24.16,1.28,6.66,65.92,0,0,1.07,0,0
 24-34,0,0,0,3.5,0.83,58.41,0.85,0,3.05,1.02,0,1.13,0,0,0,0,0,34.14,0,0.82,8.74,348.23,0.75,0.89,2.79,0,0,11.11,0,2.32,0.7,4.36,70.92,0,0,2.81,0,0
 36-46,0,0,0,1.54,0,48.22,0,1.03,4.58,0,0,0,0,0,0,0,0,11.15,0,0.86,7.09,164.45,0,3.21,0,0,0,6.32,0,0,0,0,46.27,0,0,4.47,0,6.47
 48-58,0,0,0,2.87,0,59.56,1.07,0.41,11.5,0,0,0.67,0.37,0,0.38,0,0,22.95,0,0.5,6.34,132.06,0,0,0.98,0,0,5.47,0,0,0.61,0,14.44,0,0,5.45,0,0
 60-70,0,0,0,2.34,0,31.15,2.42,0.9,20.5,0,0,0,0,0,0,0,1.37,23.86,0,0,1.53,63.04,0,0,0.83,0,0.71,2.71,0,0,0.6,0,1.67,0,0,0,0,6.25
 72-82,0,0,0,1.31,0,32.97,0,3.18,5.57,0,0,0,0.6,0,0,0,9.33,27.55,0,0.67,3.52,80.48,0,0.95,4.87,0,0,0.79,0,0,0.73,0,0.92,0,0,0,0,0
 84-94,0,0,0,9.78,0,39.55,0,5.14,9.01,3.14,0,0,1.42,0.76,10.03,1.52,0,20.88,0.86,1.95,2.69,47.02,0,0,0,0,0.57,1.42,0,0,0,0,7.05,0.78,0.77,1.14,0,0
 96-106,0,0,0,0.77,4.6,8.08,1.21,0,4.39,2.34,0,0.99,0,0.81,0,0,0,18.04,0,4.91,7.23,36.35,4.18,0,2.83,0,0,7.91,0,0,0,0,0,2.03,0.79,2.5,0,0
108-118,0,0,0,6.76,0,23.01,0,0.59,15,0.54,0,0,1.28,0,0,0.49,0,20.73,0,0,3.68,59.52,0.46,0.55,2.38,0,0,7.49,0,0,0.54,0,4.15,0,0,1.28,1.59,0
120,0,0,0,16.01,1.35,28.23,0,0,16.05,0,0,0,0,0,1.74,0,0,12,1.56,2.08,6.09,82.37,0,2.28,0,0,4.59,1.47,0,0,0,0,0,0,0,2.27,0,0
