stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.1,389.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0,0
  5-6,48.07,627.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,45.61,8.64,0,0,0,75.76,0,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0,361.54,0,0,0,105.11,0,5.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.36,11.96,0,0,0,36.39,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,490.77,4.59,0,0,84.38,0,0,0,17.08,0,7.22,0,0,0,0,0,0
 14-21,0,0,1.49,17.12,3.61,0,6.92,0,1.17,0,1,0,0,0,0,1.61,0,0.92,0,0,4.73,0,0,6.45,85.44,1.08,0,0.94,2.14,0,7.53,26.33,0,1.32,17.85,24.88,0,0,1.05,0,0.85
 24-34,0,0,0.59,5.12,1.62,0,5.51,0,0,0.79,3.15,0,0,1.33,0,4.04,0,0.64,0,6.11,6.18,0.66,0,4.17,73.1,0.62,0,1.33,0,0,13.21,0.85,0,0.85,5.48,22.89,0,0,1.5,0,2.72
 36-46,0,0,0,2.43,0,0,5.47,0,0,1.64,0.86,0,0,0,0,0.6,0,0,0,0,10.22,5.63,0,2.44,28.47,1.2,0.62,0.57,0,0,12.97,0,0.75,0,0,15.59,0,0,4.94,0,0
 48-58,0,0,0,3.25,1.1,0,9.66,0.74,0.75,0,12.3,2.44,0.7,0,0,0.37,0,0,0.7,0.6,11,0,0.4,5.19,27.66,0.4,0,2.34,0,0,3.07,0,0,1.31,0,7.17,0,0,0.85,0,1.18
 60-70,0,0,0,10.33,0,0,5.04,0,0,0.63,13.9,0,0,0,0.67,0,0,0.73,1.77,0,8.98,1.02,6.97,0.95,23.98,0.63,0,0.58,0,0,6.15,0,0,0,0,2.16,0,0,0,0,5.27
 72-82,0,0,0,1.69,0.95,0,9.43,0,0,1.69,18.49,0,0,0.9,0,0.56,5.28,1.79,0,0,14.96,1.11,0,1.83,17.7,0,0,4.15,0,0.84,3.11,0,0.63,0,0,4.92,0.62,0,1.49,0,4.03
 84-94,0,0,0,14.36,2.45,0,4.46,0,0,0,9,0,0,0,0,0.95,0,4.2,0,6.72,15.84,0.91,0,0.76,10.44,0,1.05,6.8,0,0,8.13,0,1.35,0,0,0,0,0,4.91,0,0
 96-106,0,0,0,7.67,3.6,0,15.89,0,1.66,3.26,14.1,1.77,0,1.57,0.74,1.77,1.14,0,1.6,0,29.53,0.78,1.42,5.6,23.41,0,0.59,5.92,0,0,15.5,0,1.22,0.84,0,1.97,0,0,10.45,0,13.26
108-118,0,0,0,7.88,0,5.47,7.33,0.68,2.47,2.36,6.2,0.95,0,1.65,0.65,4.23,1.22,0.95,5.06,0,19.63,0,0.72,7.07,23.07,0,0,2.73,0,0,11.02,0,0,0,0,0,0.43,0,0.85,2.46,1.73
120,0,0,1.28,10.99,1.1,0,0,0,3.23,0,7.74,1.21,0,0,2.27,0,1.59,0,3.71,0,15.25,0,1.26,2.66,14.97,0,0,26.94,0,0,31.97,0,2.61,0,0,1.64,0,2.55,1.44,12.53,0
