stage,axial,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,glial,gut,hatching_gland,liver,mesenchyme,muscle,neural,olfactory,periderm,pronephros,vascular_smooth_muscle
  5-6,16.84,55.27,0,0,0,0,0,0,0,0,0,18.17,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.33,0,0,0,16.36,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0
 24-34,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0.7,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24,0
 48-58,0,0,0,0,0,0,0.68,0,0,0.8,0,6.9,0.6,1.36,0.38,0
 60-70,0,0,0,0,0,0,1.39,0,0,0.9,0,0,0,0,0,0
 72-82,0,0,0.69,0,0,0,6.55,0,0,0,0,0,2.1,0,2.61,0
 84-94,0,0,2.57,0,0,0,6.82,0,0,0,0,0,0,0,5.43,0
 96-106,0,0,0.63,0,0,1,6.72,0,0,0,0.56,5.54,0,0,8.17,0
108-118,0,0,0,1.61,0,0,4.88,0,3.65,0,0,0,0,0,1.99,0
120,0,0,0,0,1.78,0,3.7,0,3.92,2.81,0,0,0,0,17.27,1.52
