stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,7,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.38,3.96,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.33,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,1.14,0,0,9,0,0,0,0,0
 24-34,0,0,0,6.82,0,0,0,0,1.56,0,1.23,0,0.73,0,0,0,0.81,0,0,0,17.82,0,0,0.68,0.65,4.12,13.27,0,0,1.06,0,1.36
 36-46,0,0,0,7.43,0,0.7,0,0,3.92,0,0,0,0,0,0,0,0.75,0.58,0,1.5,19.73,0.65,2.85,0.91,14.91,0,7.94,0,0,0,0,0
 48-58,0,0,0,2.02,0,5.61,1.47,0,2.44,0,0,1.91,0,0,0,0,1.02,0.41,0,1.74,19.9,0,4.11,0.41,7.19,0,4.68,0,0,0.51,0,0
 60-70,0,0,0,1.56,0,6.4,0,0,2.73,0,0,0,0,1.16,0,0,18.58,0,0,0.84,35.79,0,1.02,0,5.34,0,5.71,3.21,0,0.96,0,0
 72-82,0,0,0,7.67,0,11.24,0,0,13.88,6.54,1.12,0,0.75,0,0,5.6,17.79,0,0.81,0.73,39.23,0,6.61,1.56,4.11,0,5.53,0,0.66,1.63,1.65,8.9
 84-94,0,0,0,3.72,0,26.02,1.02,1.13,5.49,11.93,0,1.19,2.09,0,0,1.76,8.11,0.86,0,1.33,8.92,0,2.83,2.37,5.93,2.39,3.52,0,0,0,0,0
 96-106,0,0,2.47,11.98,0,11.89,2.84,1.08,5.69,12.02,0,1.64,1.75,0,0,12.11,16.67,0,0.88,0,35.92,0,6.92,0.98,9.75,7.11,0.67,0,0,2.16,0,0
108-118,0,0,0,16.91,0,32.87,1.07,0,9.22,12.31,0,2.3,1.56,0,2.04,4.86,9.48,1.26,0,0,49.11,0,6.5,1.94,16.83,0.64,6.36,0,0.53,4.41,0,0
120,0,0,0,14.3,2.59,19.02,1.49,0,29.48,24.21,0,3.83,0,0,0,3.38,25.43,0,0,0,43.01,1.62,1.26,0,6.06,0,5,1.06,0,0,0,0
