stage,epidermis,eye,glial,hatching.gland,immune,mesenchyme,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  7-9,0,0,0,5.27,0,0,22.6,3.56,0,0,0
 10-12,0,0,0,0,0,0,6.19,0,0,0,0
 14-21,0,0,0,0,0,0,1.41,0,0,0.86,0.93
 24-34,0,0,0,0,0,0,2.25,0,0,0,2.39
 36-46,0,0.85,2.32,0,0,0,27.14,0,0,0,2.01
 48-58,0,2.81,0,0,0,0.95,7.98,0,0,0,0
 60-70,0,0,0,0,0,0,4.74,0,0,0,2.29
 72-82,0,13.36,5.86,0,5.1,2.85,0,0,0,0,0
 84-94,0,10.64,3.53,0,2.86,1.04,1.12,0,0,0,0
 96-106,0,20.52,3.25,0,2.62,2.88,5.25,0,1.19,0,0
108-118,0.51,8.82,0,0,1.53,4.03,0.85,0,0,0,0
120,0,0,0,0,3.56,0,0,0,0,0,0
