stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,157.46,1866.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.26,0,0,0,0,0,0,0,0,0,0
  5-6,205.6,3407.65,0,6.55,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,103.53,0,0,0,7.9,0,82.18,0,0,0,0,0,0,0,0,0,0
  7-9,28.36,54.97,0,127.46,0,0,0,260.29,0,0,0,0,0,71.23,0,0,0,0,0,0,0,0,0,0,0,1966.89,67.29,0,0,1043.46,0,0,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,80.7,0,134,0,11.74,0,123.69,0,0,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,1466.42,21.68,0,0,724.37,0,5.41,0,0,47.49,0,5.32,0,0,0,0,0
 14-21,0,0,1.32,1.85,10.53,5.9,0,13.57,0,0,0,4.74,1,0,0.81,0,0,0,0,0,0,7.01,0,0,8.67,217.3,2.35,2.02,3.03,9.38,0,0,2.3,27,1.13,18.56,55.91,0,0,1.63,0,0
 24-34,0,0.83,0,0.77,14.12,0,0,56.33,0,0,0.74,9.45,0.67,0,0,0,0,0,0,0.96,0,47.44,0,0,23.19,440.22,2.07,0,6.11,0,0,1.77,0,0,0,8.41,113.21,0,0,12.08,0,2.81
 36-46,0,0,0,0.56,10.84,0,0,76.42,3.63,0,0,8.31,1.58,0,3.38,0,0,0,0,1.29,0,45.33,0,6.02,4.86,349.96,0,2.45,1.47,0,0,0,0.81,0,0.59,0,106.39,0,1.04,6.57,0,0
 48-58,0,0,0,0,16.25,1.56,0,138.48,6.79,6.61,8.07,28.92,0,0,0.58,0,0,4.8,0,0,1,45.25,0,0.78,5.01,334.76,0.76,0.58,0.82,0,0,2.66,0,0,0.61,0,53.62,0,0,0.45,0.5,4.36
 60-70,0,0,0,0,6.45,4.68,0,159.19,3.7,0,1.18,42.79,0,0,0.78,4.75,0,0,0.77,7.26,0,65.18,0,2.08,7.12,322.44,0,0,2.23,0,0,3.48,0,0,0,0,32.46,0,0.9,3.41,0.71,0
 72-82,0,0,0.68,0,2.14,0,0,149.83,0,0,2.4,28.77,2.31,0,0,0,0,0,0,0,0,56.88,0,0,6.75,292.44,0.5,6.34,1.43,0,0,1.47,0,0,0,0,26.58,0,0,11.53,1.28,2.96
 84-94,0,0,0,0,6.93,1.52,0,132.63,0,0,1.53,20.17,0,0,0,4.59,1.54,0,1.46,0.82,1.76,68.22,0.76,0,5.3,155.39,1.18,0.56,0,0,0,2.42,0,0,1.21,0,14.74,0.55,0.69,13.19,0,0
 96-106,0,0,0,0,3.53,0,0,47.65,5.83,0,0.86,15.55,0,0,0,0,0,0,0,0.7,0,20.56,0,0.68,4.08,151.08,0,2.56,2.87,0,1.33,3.6,0,0,0,0,13.05,0,0,4.21,0,2.85
108-118,0,0,0.95,0,4.63,0,0,57.28,0.51,1.72,2.24,16.51,1.85,0,0,0.46,0,2.36,0,0,0.53,41.4,1.41,1.04,5.61,202.19,0,0.59,1.04,0,0,1.37,0.79,0,0,0,10.39,0,0,5.61,0,0
120,0,0,0,0,9.65,15.94,1.6,80.77,0,1.04,11.17,71.46,0,0,0,0,0,0,0,2.7,0,28.74,0,0,9.57,425.59,0,0,9.43,0,0,2.53,0,0,3.15,0,13.79,0,0,2.73,1.43,2.78
