stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.43,32.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,96.52,86.96,2.16,0,0,0,1.08,0,0,1.02,0,0,0,0,0,158.31,0,0,48.62,77.7,0,0,2.05,0,1.11,0,2.83,1.42,7.36,0,0,72.44,0,0
 24-34,0,0,0,8.49,193.89,21.73,1.49,0,0,0,0,0,0,0,0,0,0,0,0,274.1,1.02,0,31.38,151.01,0,1.03,0,0,0,0,0,0,8.42,0,0,351.43,0,0
 36-46,0,0,0,0,134.19,10.62,2.99,0,0.88,0,0,0.72,0,0,0,0,0,0,0,213.91,0,0,82.33,94.7,1.39,0,0,0,0,0,0,0,2.02,0,0,140.89,0,0
 48-58,0,0,0,0,118.86,0.45,4.75,0.45,0,0,3.32,0,0,0,0,3.3,0.39,1.02,0.39,319.23,0,0.48,96.18,63.13,0,0,1.06,0,1.96,0.92,0,0,6.85,0,0,161.5,0,7.23
 60-70,0,0,0,0,121.1,0,5.79,2.09,1.4,0,1.13,0,0.88,0,0,0,0,0,0,439.89,1.94,0.89,49.27,88.68,0,0,0,2.16,0,0,0,0,9.54,0,0,107.73,0,0.77
 72-82,0,0,0.57,0,164.42,5.26,31.25,3.51,0,0.75,12.91,0,0,0,0,0,0,0,0,623.94,0,8.72,109.39,71.56,0,0,2.59,3.97,0,0,0,0,4.37,1.44,2.74,212.64,0.93,0.52
 84-94,1.23,0,0,0,275.73,0,20.09,7.04,0,0,2.12,4.58,0,2.13,2.06,0,0,0,0,459.71,0,5.02,28.23,28.64,0,0,1.23,0,0,0,0,0,3.66,0.78,0,199.08,7.42,0
 96-106,0,0,0,0,417.16,1.56,37.59,2.8,0,1.65,5.34,3.08,0,3.29,12.33,2.79,6.02,0,0,540.36,0,0,50.76,56.87,0,0,0.79,11,6.6,0,0.6,0,0,13.1,0,227.76,8.12,8.09
108-118,2.38,0,0,0,319.48,8.15,18.74,1.26,0.87,0,5.4,3.26,0,0.54,19.08,1.02,1.14,0,0,527.17,0,0.94,37.79,41.27,0,0,5.04,50.21,2.22,0,2.81,0,0,1.66,1.97,153.16,1,0
120,2.82,0,0,0,177.53,0,29.33,8.74,0,0,9.79,0,0,3.07,4.34,0,0,0,0,410.06,0,0,23.09,33.96,0,0,2.74,7.32,0,0,0,0,0,0,0,119.19,0,1.64
