stage,blastomeres,epidermis,fin.epithelia,neural,notochord,periderm,spinal.cord
  7-9,6.59,0,0,0,0,0,0
 10-12,0,0,0,53.66,7.26,0,0
 14-21,0,0,0,0.92,0,0.84,0
 36-46,0,0.74,0,0.93,0,0,0.72
 60-70,0,0.71,0,0,0,0,0
 96-106,0,0.81,0,0,0,0,0
120,0,0,2.08,0,0,2.14,0
