stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,15.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.81,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0,0,5.92,0,0,0,0,1.91,5.97,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0.86,0,0,0,2.48,0,0,0,0,0,0,0.91,0,0,0,0
 36-46,0,0,0,21.95,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,1.84,0,0,0,0,0,0,0,0,5.01,0,0.66,0,0,0,0
 48-58,0,0,0,3.26,0.4,0,0.67,0,0.79,0,1.39,0,0,0,0,0,0,0.97,0,0,10.44,0.41,0,1.34,1.39,1.03,0,0,0,42.98,0.53,1.2,0,0,1.26,0
 60-70,0,0,0,1.21,0,0,0,0,3.56,0,0.97,0,0,0,0,0,0,0,0,0,14.51,0,1.12,0.99,11.38,1.24,0,0,0,33.03,0,2.36,0,0.59,0,0
 72-82,0,0.62,0,3.15,2.27,0,15.37,0.9,0.96,5.16,2.8,0.67,0,0,0.6,0,0,4.54,4.55,0,74.6,0,2.34,7.49,20.25,0,0,0,0,59.49,3.5,0.9,0,0.5,5.84,2.27
 84-94,0,0,0,11.15,2.63,1.16,8.12,0,4.27,3.93,0,3.76,0,1.31,4.24,0,0.55,1.24,8.77,0,77.49,0.57,0,3.71,11.94,2.21,0,2.05,1.68,206.51,3.39,0,0,0,14.6,13.08
 96-106,0,0,0,17.61,10.2,1.33,11.35,0.58,3.22,7.3,1.52,7.24,0,1.03,1.58,0.6,0,2.38,5.3,7.1,100.08,3.96,2.82,10.5,24.97,0,1.32,1.94,0,112.25,5.49,0,0,0.78,5.33,11.88
108-118,0,0,0,14.18,1.79,4.76,6.2,1.03,6.78,5.55,6.67,7.86,0,0.69,1.59,1.78,0,3.36,11.44,0,128.62,0.9,5,15.91,20.84,0.59,0.48,1.45,6.96,98.53,4.09,0,1.53,1.06,2.42,3.23
120,0,0,0,17.9,6.4,0,4.21,0,3.19,0,1.51,13.87,0,0,0,0,0,1.19,3.42,0,115.17,0,4.64,3.62,27.72,1.32,0,1.86,0,39.13,0,0,0,0,0,0
