stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.08,6.37,3.17,1.98,0,0,0,2.07,0.82,0.85,0,0,6.71,0,0.88,0.81,0,0.85,40.08,0.8,0,0,3.82,5.19,4.67,21.94,0,0,0,0
 24-34,0,0,2.21,0,4.21,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,63.49,0,0.75,0,0,0,0.71,11.23,0,0,0,0
 36-46,0,0,0,0,6.78,2.12,0,0.82,3.14,0,0,0,0,0,0,0,4.25,0,6.65,33.74,0,3.23,0,8.24,0,0,5.66,0,2.6,0,0
 48-58,0,0,5.65,0,6.89,0,0,0,7.8,0,0,0.66,0,0,0,0,2.34,0,0.52,30.27,0,0,1.41,2.98,0,0,15.5,0,1.18,0,0.42
 60-70,0,0,1.65,0,16.03,0,0,0,12.87,0,0,0,0,0,0,0,1.28,0,2.76,21.51,0,0,0.62,1.86,0,0,12.28,0,3.34,0,0
 72-82,0,0,0,6.44,8.17,0,0,0,2.24,0,0,0,0,0,0.9,0,12.11,0,0,30.87,0,1.51,0.52,0,0,0,3.18,0,5.35,0,0
 84-94,0,0,0,2.56,8.98,1.17,0,0,0,0,0.6,0.6,0,0,0,0,9.11,0,0,10.89,0,0,1.19,4.6,0,0,0.99,0,0,10.35,0
 96-106,0,0,0,0,10.53,0,0,0,8.58,0,0,0,1.14,0.63,0,0,18.19,0.78,0,29.83,0,0,0,1.31,0,0,4.77,1.88,0,0,0
108-118,0,0,5.15,0,27.44,0.46,0.63,0,5.94,0,0,0,0,0,0.92,0,13.45,0,0.66,33.52,0,0,0,2.71,0,0,0,0,2.77,0,0
120,0,0,0,0,17.41,0,0,0,16.35,0,0,0,0,0,0,0,2.42,0,0,13.77,0,0,1.29,0,0,0,0,0,0,0,0
