stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,13.28,0,0,10.71,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.93,0,0,4.08,0,0,0
 14-21,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0.94,0,0
 24-34,0,0,0,0,0,0,0,0,1.1,4.58,0,0,0,0,0,0
 36-46,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,5.38,0,0,0,2.48,0.38,0
 60-70,0,0,0,2.86,0,0,2.9,2.12,0,1.07,0,0,0,0,0,1.82
 72-82,0,0.97,0,0.87,0,0,0,1.14,0,0.56,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.33,1.5,0,0,0,0
 96-106,0,0,0,3.57,0,0.91,0,0,0,2.9,0,2,0,0,0,0
108-118,0,0,0,0,0,0,0,4.21,1.12,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,8.59,0,0,0,0,0,0
