stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,34.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0
 10-12,0,15.63,0,3.28,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,4.97,0,0,0
 14-21,0,0,2.32,0,0,0,0,0,0,0,0,5.34,0,0,6.05,1.37,1.54,0.91,2.36,0,14.49,0,0.96
 24-34,0,0,3.71,0.67,0,0,1.01,0,0,0.62,0,5.02,0,0,3.81,0,2.25,0,0,0,0,0,0
 36-46,0,0,0,2,0,0,0,0,0,0,0,0.56,0,0,1.84,0,19.53,0,0,0,0,0,0
 48-58,0,0,0,3.13,0,0,0,0,0,0,0,1.83,0,0,1.8,0,2.21,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,2.28,0,2.41,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,5.78,0,0.54,0,0,0,0,1.28,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,2.67,0,12.38,0,0,0,0,0,0.83
 96-106,0,0,0.93,1.06,0,0,0,0.73,0,0,0,0.56,0.6,0,8.63,0,11.71,0,0,0,0,0,0
108-118,0,0,0.92,0,0,1.86,0,0,0.44,0,0,0,0,1.48,6.43,0,7.3,0,0,0,0,0,0
120,0,0,0,0,2.29,0,0,0,0,0,0,2.86,0,0,1.36,0,18.98,0,0,0,0,5.96,0
