stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,61.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.05,0,0,26.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3,0,0,0,43.74,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.49,6.38,0,0,41.17,0,0,0,9.31,10.58,0,0,0,0,0,0,0,0
 14-21,0,0,0,15.01,5.14,4.88,0,0,0,2.85,0,0,2.27,1.11,0,0,0,0,6.01,0,0,3.75,49.83,1.76,0,0,0.89,0,8.57,0,6,2.59,3.89,8.78,12.3,0,0,1.1,0,0
 24-34,0,0,1.86,8.12,0.81,34.85,0,0.9,1.41,3.19,0,0,3.03,10.76,0,0.6,1.58,1.75,18.66,1.42,0,8.01,236.57,0,1.47,2.34,0,0,8.34,0,0,1.35,1.62,4.33,27.47,0,0,11.51,0,4.15
 36-46,0,0,0,2.14,0,35.55,3.06,0,0,10.58,0,0,8.11,3.29,0.71,1.31,2.29,0,22.41,0,0,6.05,166.15,0,0,0.66,0,0,38.8,0,0,0.63,4.29,0.8,29.3,0,0,13.75,0,1.23
 48-58,0,0,0,6.2,0.87,67.86,0.44,0.39,1,16.43,0,0,1.6,0.64,1.24,0.42,1.59,2.32,23.59,0.56,3.08,4.38,130.26,0,1.51,1.1,0,0.46,14.89,0,0,2.01,3.27,0,33.31,0,0,3.13,0,2.67
 60-70,0,0.57,0,31.56,3.64,141.07,3.45,0.79,2.65,22.23,0,0.84,8.15,1.53,1.14,2.72,3.12,0,57.61,0,0,1.29,234.86,2.27,1.22,0,0,1.1,15.99,0,0,4.67,0,0,24.28,0,0,4.14,0.72,2.21
 72-82,0,0.5,0,14.12,1.54,84.88,0.92,3.38,0.91,9.82,2.04,1.41,7.98,1.67,0,2.13,0,0,34.4,1.7,1.27,4.22,150,0,2.21,2.26,0,0,8.61,0,0,0,0,0,9.67,0,0.89,4.47,1.67,8.1
 84-94,0,0,0,11.87,4.76,46.36,0,0,5.65,22.39,3.85,2.42,2.56,3.83,1.35,0.66,0,2.19,30.03,7.11,0,16.29,101.04,0.97,0,1.25,0,0,32.9,0,0,2.2,0,0,11.75,3.28,3.89,6.72,0.63,0
 96-106,0,0,0,5.79,5.12,60.13,1.33,1.02,1.24,17.56,4.23,0.72,7.04,5.54,1.8,0,2.07,0,21.59,2.47,4.67,4.84,104.23,0,6.84,1.52,0,1.17,13.93,0,0,0,0,0,15.41,0.82,0,3.67,1.24,0
108-118,0,2.91,0,8.88,1.9,67.01,0,1.3,1.96,18.31,0.78,0,2.25,3.95,4.5,0,1.31,1.13,37.24,0.54,0,5.51,121.92,1.1,4.26,8.08,0,5.54,20.46,0,0,0,1.04,0,0.94,1.08,2.33,4.11,0.95,2.04
120,0,0,0,17.29,1,58.25,1.18,0,0,32.33,1.53,0,7.93,4.81,1.91,1.11,14.54,0,44.02,0,0,8.61,260.22,0,17.15,13.77,0,2.54,18.46,0,0,4.24,1.21,0,1.53,2.24,2.55,1.14,13.26,3.58
