stage,eye,glial,mesenchyme,neural,notochord,periderm,presomitic.mesoderm,spinal.cord
 14-21,0,0,0,0,0,0,0.88,0.98
 24-34,0,0,0,2.78,0,0,0,1.27
 36-46,1.57,0,0,2.48,0.77,0,0,0
 48-58,0,4.34,0,2.56,6.31,0,0,0
 60-70,2.51,0,0,0,0,0,0,0
 72-82,2.53,0,0.72,0,0,0,0,0
 84-94,0,0,0,1.57,0,0,0,0
108-118,0,0,0.9,4.48,0.49,2.3,0,0
120,0,0,5.33,3.6,0,0,0,0
