stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.07,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,13.26,1.78,0,2.07,0,0,0,1.23,0,0,0,0,0,0,0,0.94,7.65,0,0,2.88,54.75,0,0,0,0,0,6.08,6.29,1.06,0,5.27,21.46,0,0,0,0,1.85
 24-34,0,0,0.62,8.31,0.62,0,17.12,8.76,0.82,0,1.73,0,4.15,0,0,0,0,0,0,11.96,0,0.91,4.94,79.54,0.77,0,0,0,0,14.74,0,0.63,0,1.28,19.41,0,0,4.26,0,0.69
 36-46,0,0,0,0.6,0.81,0,16.26,3.45,1.39,1.17,1.53,0,0.63,0,0,0,0,0,3.95,22.12,0,0,3.68,126.9,0,1.45,0,0,0,10.39,0,1.03,0,0,34.91,0,0,0,0,6.76
 48-58,0,0,0,2.24,0,0,23.43,0,0.45,6.87,6.67,0,0.55,0,0,0,0,0.39,6.33,25.24,0,0,3.89,73.88,0,1.37,0.48,0,0,17.3,0,0,0,0,13.9,0,0,4.11,0,2.3
 60-70,0,0,0,0.75,0,0,12.41,1.59,0.59,0,3.59,1.82,0,0,0.61,0.61,0,0,2.08,50.68,0,0,2.09,26.68,0,0.72,0.81,0,0,4.12,0,0,3.07,0,7.2,1.22,0.9,1.16,0,1.96
 72-82,0,0,0,1.28,4.79,0,15.84,7.1,0.8,1.33,9.05,1.5,1.04,0.59,0.83,1.71,1.15,0,0,43.7,0,0,5.83,67.28,0.73,0.67,1.27,0,0.77,3.88,0,0,0,0,2.33,1.34,0,7.44,0,9.76
 84-94,0,0,0,12.44,0,0,23.53,0.73,1.4,0.82,11.76,1.34,0,0,0,0.79,0.86,0,0,54.13,0,0.82,5.09,37.89,0.72,0.78,0,0,0,10.32,0,2.72,0,0,2.88,0,0.63,7.39,0,17.22
 96-106,0,5.6,0,16.66,0,0.6,14.72,0,0.58,1.35,18.1,1.84,3.02,0,1.13,2.94,0,0,3.66,55.16,0,3.21,7.28,37.07,0.61,2.26,1.05,0,3.05,11.92,0,0.82,0,0,0.83,1.14,0,6.14,4.36,4.18
108-118,0,1,0,15.92,2.9,2.26,27.83,0,0,3.11,9.6,0.85,0,0.48,0.49,0.44,0,0,10.46,68.44,4.46,4.28,12.46,57.54,1.18,4.45,0,0,0,9.69,0,1.02,0,0,3.28,0.43,1.88,7.45,0.5,4.83
120,0,0,0,44.74,0,0,8.26,0,5.98,2.28,22.04,3.13,10.06,8.04,1.06,1.87,0,0,0,54.94,0,0,0,94.2,0,1.26,3.45,0,0,6.69,0,1.83,0,0,8.38,0,0,2.22,1.93,0
