stage,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,mesenchyme,neural,periderm,spinal_cord
 24-34,0,0,0,0,0,0,0,0,0,1.56
 60-70,0,19.54,0,0,0,0,2.82,0,3.4,0
 72-82,0,54.47,0,0,0,0,0,3.23,1.16,0
 84-94,0,43.54,0,0,0,1.73,0,0,0,0
 96-106,0,35.99,0,0,0,0,0,6.95,0.62,0
108-118,3.63,66.67,0,2.14,0,3.06,4.01,3.56,1.26,0
120,0,24.63,1.01,0,1.58,0,2.44,0,3.28,0
