stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,liver,mesenchyme,muscle,neural,otic,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,0,0,1.11,0,0,0,0,0,0,0.83,0,7.78,0,2.84,66.58,0,0
 24-34,0.84,0,0,3.13,1.61,0,0,0,0,0,0,72.5,0,0,117.18,0,0
 36-46,3.83,0,0,0.75,0,0,0,0,0,0,0,74.76,0,0,34.46,0,0
 48-58,1.48,0,0,3.92,0.85,0,0,0,0,0,0,62.44,0,0,8.63,0,0
 60-70,0,0,0,4.08,0,0,0.98,0,0,0,0,68.02,0,0,4.32,0,0
 72-82,1.77,0,0,1.97,0,0,3.7,0,0,2.85,0,56.33,0,0,3.42,0,3.54
 84-94,2.56,0,0,6.23,0,0,18.26,0,0,2.92,0.75,107.37,0,0,15.98,2.7,0
 96-106,1.28,0.89,0,23.1,0,1.64,28.11,1.61,0,1.46,0,126.36,1.18,0,0,0,0
108-118,0,1.38,0,13.75,0,0,23.69,0,0,3.59,0,113.21,0,0,1.94,0,0
120,1.43,0,0,13.64,0,0,88.43,0,5.51,0,0,173.53,0,0,0,0,0
