stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,29.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,23.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0
 24-34,0,0,1.77,175.81,1.67,0,0,0,0,0,0,0.8,1.21,0,26.85,1.63,0,0,0,0,1.59,0,2.08,3.24,0,0,0
 36-46,0,0,0.65,73.82,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,116.24,2.81,0,0.37,4.83,0,0,0,1.15,0,0,18.74,0,1.57,0,0,0,0,0,0,0.63,0,0,0
 60-70,0,0,0,90.23,10.98,0,0,0,0,0,0,0,0,0,14.03,0,0,0,0,0,0,0,0,0,0,9.05,4.43
 72-82,0,0,0,200.85,0.62,0,0,2.23,0.72,0,1.71,3.37,0,0,18.52,0,0,0,3.57,0,0,0,0,0,0,2.18,0
 84-94,0,0,1.09,261.89,0,0,0,4.84,0,0,0,0,4.52,0,1.4,0,0,0,1.6,0,0,0,0,0,0,0.57,0
 96-106,0,0,0,382.64,2.09,0.95,0,0,0,0,0,0,0,5.88,14.33,0,0,0,0.67,0,0,0,0,0,1.03,0,0
108-118,0,0,1.53,260.99,0,0,0,5.14,0,1.4,0,1.16,0,0.49,11.31,0,4.08,0,0,0,0,0.98,0,0,0,2.13,0
120,0,0,1.22,263.91,11.09,0,0,0,1.31,0,0,0,0,2.07,8.04,0,0,0,0,0,0,0,0,0,0,0,6.17
