stage,blastomeres,epidermis,eye,fast_muscle,glial,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,24.19,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,12.61,3.25,0,0,0,0
 24-34,0,4.22,0,0,0,0,0,0,5.26,0,0,0.71,0,0
 36-46,0,0,0,0,0,5.71,0,0,4.83,0,0.82,4.25,0,0
 48-58,0,2.15,0.47,0,0,5.8,0,0,13.36,0,1.04,0,0,0
 60-70,0,0,0,0,0,0.61,0,7.94,25.74,0,0,0,0,0
 72-82,0,0,16.88,0,1.57,1.63,0,0,28.44,0,0,3.34,0,0
 84-94,0,0,3.66,0,0,4.95,0,0,11.07,0,0,0,0,2.17
 96-106,0,0,5.01,0,0,7.12,0,0,12.57,0,0,0,0.88,0
108-118,0,0,0,0,2.94,12.15,0.65,0,2.03,0,0,0,0,0
120,0,0,3.04,2.29,0,26.61,0,0,9.64,0,0,0,0,0
