stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,xanthophores
  3-4,92.79,4652.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.64,0,0,0,0,0,0,0
  5-6,87.89,738.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.45,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,99.06,3.25,0,0,0,0,26.02,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0,35.88,0,0,0,20.11,0,0,0,7.03,0,3.11,0,0
 14-21,0,0,0,1,0,1.91,0,0,0,0,0,1.43,0,0,0,1.1,0,0,0,13.17,1.15,0,0,0.83,0,0,4.58,0.86,0,12.49,7.06,0
 24-34,0,0,0,4.86,0,1.28,0,0,0.67,0,0,13.89,0,0,0,4.31,0,0,0.75,20.5,3.79,0,0,0,5.25,0,0,0,0,0.66,7.45,0
 36-46,0,0,0,0,0,2.77,0,2.29,0,0,0,3.62,0,0,0,3.69,0,0,0,43.74,0.64,1.27,0,0,3.81,0,0,0,0,0,16.4,0
 48-58,0,0,0,0,0,6.08,0,4.69,0,0,0,7.18,0,0,5.01,4.83,0,0.55,0.45,55.72,4.59,2.06,0.42,0,0.44,0,0,0,0,0,5.51,2.3
 60-70,0,0,0,2.3,0,26.51,4.8,13.54,0,0,0,2.38,0,0,0,18.33,1.27,0,2.73,95.72,0.77,1.02,0,0,1.29,0,0,0,0,0,17.64,0
 72-82,0,0,0,2.3,0.57,20.03,0,8.15,0,0.55,0,1.23,0,0,0,10.14,0,4.38,0.8,89.63,0,0,0,0,0.6,0,0,0,0,0,24.47,0
 84-94,0,0,2.22,2.28,1.24,18.66,0.87,9.78,0,0,0,9.21,0.62,0,0,13.35,0,0,0,43.67,0,0.93,0,0,1.33,0,0,0,0,0,0,0
 96-106,0,0,0,1.24,0.82,8.29,0,16.33,2.55,0,0,2.54,2.64,0,0,16.39,0,0,0,83.48,0,1.92,1,0,14.71,0,0,0,0,0,12.01,0
108-118,0,0,0.71,3.7,0,21.02,0,7.22,0,0,0,14.21,0,3.04,0,4,1.13,0.56,0,42.34,1.55,2.38,2.82,0,2.32,0,0,0,0.55,0,1.84,0
120,0,0,0,7.73,0,7.67,0,0,0,0,4.35,4.29,0,0,0,13.57,0,0,0,29.5,0,1.29,0,0,1.92,0,0,0,0,0,14.81,0
