stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,20.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17,0,0,0,4.28,0,0,0,0,0
 14-21,0,0,0.98,2.68,0,0,1.06,0,0,0,0,0,0,0,0,1.35,14.27,2.54,0,0,0,1.97,0.89,0,4.29,0
 24-34,0,0,0,3,1.39,0,0.66,0,1.64,0.66,0,0,0,0.95,0,0,12.98,0,0,0,0,0,0,0,4.84,0
 36-46,0,0,0,5.02,0,0,0,0,0.63,0,0,0,0,0,0,0,5.62,0,20.35,0.83,0,0,0,0.79,0,0
 48-58,0,0,0,0.45,0,0,0.8,0,0.51,0,0,0,0,2.46,0,0.52,4.96,0,8.76,0,0,1,0,0,4.36,0
 60-70,0,0,0,1.04,0,0,1.29,0,0,0.91,0,0.86,0,14.33,0,0,13.54,0,0.98,0,0,0,0,0,0,0
 72-82,0,1.25,0,0,0,0,6.01,0,0,0,0,0,0.6,5.25,0,0,19.09,0,0,0,0,6.72,0,0,0,0
 84-94,0,1.43,0,0,0,0,1.55,0,1.39,8.57,0,0,0,2.74,2.66,0,4.83,0,1.1,0,0,0.69,0,0,3.15,0
 96-106,0,0,0,0.59,0,0,0,0,0.62,1.1,0.65,0,1.01,3.51,0,0,4.16,0,2.68,0.73,0,0,0,0,0,0
108-118,0,3.62,0,1.28,0,0.45,5.84,0.57,0,4.15,0.88,0,1.11,3.27,0,1.21,34.68,0,0,1.42,0,0,0,0,0,1.6
120,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,30.4,0,0,0,0,0,0,0,0,0
