stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.02,608.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.58,287.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.57,15.16,4.55,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,103.82,19.44,0,0,13.19,0,7.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,43.94,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.1,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,78.32,0,0,0,0,0,0,4.73,2.01,0,2.74,27.54,0,0,0,0,0
 24-34,0,0,0,4.33,0,0,0,0,1.05,0,0,0,0,0,0,0,0.8,0,1.38,177.78,0,0,0,0,4.36,0,0,0,2.34,2.31,108.38,0,0,0,0,0
 36-46,0,0,0,0.64,0,7.11,0,0.88,8.86,0,0,0,0,0,0,0,1.32,0,0,207.65,0,0,0,0,0,0,0,0,0,0,79.35,0,0,0,0,0
 48-58,0,0,0,0.37,0,37.68,0,1.12,12.07,0,0,1.54,0,0,5.47,5.91,7.39,0,0.42,341.17,0,1.43,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0
 60-70,0,0,0,0.71,0,209.27,0,0,11.83,0,0,0,0,0,0,0,6.12,0,9.11,537.59,0,0,0.62,0,0,0,0,0,0.71,0,75.66,0,0,3.6,0.89,0
 72-82,0,0,0,0.71,4.91,369,0.5,0.95,17.59,1.12,0,0,0,2.14,0,0,16.2,1.02,2.05,707.78,0,2.26,2.82,0,0,0,0,0,0,0,36.37,0,0,1.91,0,0
 84-94,0,0,0,2.65,0.96,267.55,0,0,13.4,0.77,0,0,1.85,0,0.58,0,2.52,0,0.6,407.46,0,7.12,1.19,0,4.85,0,0,0,0,0,59.38,0,0,0,0,1.57
 96-106,0,0,0,3.53,0,409.56,0,0,30.55,0,0,0,2.68,0,0,0,11.58,0,0.9,550.5,0,8.42,2.36,0,1.95,0,0,0,0,0,26.16,0,0.87,1.58,0,0
108-118,0,0,0,4.13,1.74,477.71,0.51,0,29.78,0.69,0,0.44,0.49,0,0,0.51,7.32,0,1.31,693.65,0,0,6.37,0,1.91,0,0,0,0,0,11.15,0.68,0,4.18,0,0
120,0,0,0,5.65,1.38,669.97,0,1.58,68.21,1,0,0,0,0,10.52,0,0,0,1.68,1449.67,0,0,1.76,0,0,0,0,0,0,0,52.07,0,0,4.29,0,0
