stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,somites,vasculature
  3-4,44.35,1396.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0
  5-6,40.34,1240.84,9.08,0,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,47.6,0,0,0
  7-9,4.9,0,22.51,0,0,126.67,0,3.6,0,0,0,0,0,0,0,492.1,0,86.8,0,0,0,0
 10-12,0,7.55,13.08,0,0,68.14,0,0,0,0,0,0,0,0,0,114.22,0,21.92,4.52,4.48,0,0
 14-21,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,3.11,0,0,0,0,0,1.17
 36-46,0,0,0,0,0,0,0,0,0.88,0,0,0,8.72,0,0,0.97,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0.51,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0
 72-82,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0.58,0,0.77,0,0,0,0,0,0
 84-94,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0
 96-106,0,0,0,0.78,0.63,0.63,0,0,0,0,0.86,0.63,0,2.85,0,0,0.63,0,0,0,0,0
108-118,0,0,0,5.9,0,0.49,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,17.98,0,3.13,0,0,0,4.02,0,0,0,5.98,0,0,1.4,0,0,0,0,0
