stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.34,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.19,0,0,0,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.19,0,0,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,15.45,2.03,10.93,0,0,0,0,1.09,0,0,0,0,0,0.93,0,0,9.14,0,0,2.95,119.69,5.52,0.92,6.16,1.94,0,0,0,1.89,1.01,5.16,3.77,47.74,0,0,0.9,0,0
 24-34,0,0.71,0.65,2.03,0,17.2,0,3.84,0,6.91,0,0.81,0,0,0,0,13.48,0,5.41,12.75,0,0,7.35,452.78,0,17.9,15.58,0,0,0,0,0,0,2,2.17,103.65,0,0,2.72,0,0
 36-46,0,0,0,4.79,0,32.8,0,0,0,18.24,0,1.6,1.06,0,0,0,0.57,1.55,4.8,10.08,0,0,2.8,646.06,0.61,8.35,12.77,0,0,0,0,0,0,0.58,0,145.55,0,0,2.03,0,3.52
 48-58,0,0,0,8.74,0,88.5,2.87,0,0,19.01,5.31,14.05,0,5.3,0,10.22,5.55,0,6.06,23.75,2.63,0.38,6.12,473.61,1.21,6.06,9.99,0,0,0.59,0,0,0,0,0,102.57,0,0,2.62,0,4.03
 60-70,0,0,0,4.65,0,258.76,1.66,0.91,0.68,39.14,1.11,8.26,0,0,0,0.66,2.25,0,3.12,37.12,2.04,0,0,497.29,0,5.57,24.96,0.81,0,0.73,0,0,0,4.93,0,87.04,0,0,2.13,0,10.72
 72-82,0,0,0,7.07,0,360.06,0.8,0,2.14,31.04,2.81,4.39,0.51,0.56,0.58,0,14.36,0,0,42.17,11.29,0,4.01,460.98,0,6.13,43.75,0,0,2.14,0,0,0,6.16,0,39.17,0,0.97,3.43,2.48,3.13
 84-94,0,0.84,0,11.23,0,287.25,1.43,0,0,30.4,1.66,6.74,0,1.02,3.32,0.76,4.55,0,0.72,47.66,6.07,5.07,5.26,272.09,0,30.38,33.09,0,2.93,0,1.4,0,0.67,0,0,35.49,4.88,0,3.11,2.75,10.49
 96-106,0,0.74,0,3.13,0,299.09,1.52,0.82,0,37.54,3.59,1.06,0,0,3.64,3.6,12.4,0,0,22.66,7.61,0,3.27,280.25,0.85,21.47,34.2,0,0,8.19,1.35,0,0,0,0,13.53,0.58,1.27,4.08,3.3,2.21
108-118,0,0,0.74,4.18,0,280.1,1.44,0.72,0.58,42.69,6.22,0,0,0.78,1.73,3.11,8.28,1.32,3.06,17.63,20.07,20.19,1.24,273.28,0,6.45,36.88,0,0,3.6,0,0,1.88,1.45,0,20.87,6.4,2.2,4.14,5.22,0.65
120,0,0,1.28,14.24,0,271.69,1.76,0,0,55.09,14.81,0,0,4.75,5.66,0,1.6,0,0,47.51,1.31,0,10.06,647.32,0,9.25,68.33,0,0,0,0,0,0,0,0,12.48,16.49,3.48,9.88,0,2.85
