stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,11.48,0,0,0,28.86,0,11.23,0,0,0,0,0
 14-21,0,1.23,0.91,0,0,0,1.17,0,0,0.83,8.91,4.66,1.83,0,6.52,0,3.23,20.23,2.69
 24-34,0,0,0,0,0.62,0,0,0,0,3.83,1.35,2.48,0.83,0,0,0,5.43,5.14,0
 36-46,0,0,0,0,0,0,0,0,1.45,0.85,0,1.72,0,0,0,0,5.61,0.69,0
 48-58,0,0,0,0,0.37,1.37,0.44,0,0.77,1.8,0.38,13.86,0,0,0,0,0,0,0
 60-70,0,0,2.17,0,0,1.08,0,0,0,1.64,0.86,7.81,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.42,5.3,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.87,0,0,0,0,0,0.56,0,0,0,0.7,0.6,0,0
 96-106,0,0,0.88,0,0,5.17,0,0,0,0,0.58,0,0,0,0,0,0,0,0
108-118,0,0,0,0.95,0,9.08,0,0,0,0.47,1.33,3.29,0,0,0,0,0,0,0
120,0,0,1.97,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0
