stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.62,114.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.6,55.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.79,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77,0,4.94,14.91,29.73,0,0,0,0,0,6.45,0,1.62,14.07,5.13,0,0,3.41,0,0
 24-34,0,0,3.86,0,6.85,0,4.44,0,0,3,0,0,0,0,0,0,0,0,0,9.56,0,2.96,131.24,3.94,3.19,0,0,0,1.07,0,0.85,0.65,1.46,28.55,0,0,11.26,0,0
 36-46,0,0,0,0,4.67,0.67,10.1,14.9,0,1.8,3.26,0,0,0.81,0,0,0,0,0,7.13,0.72,14.32,229.95,4.37,4.11,0,0,0,0.95,0,0.63,0.7,0,49.22,0,0,9.64,0,0
 48-58,0,0,1.25,0,6.62,0.39,42.18,3.43,0,1.52,12.55,0,0.65,0.44,0,0,0,2.27,6.6,11.01,1.78,1.45,321.49,2.84,1.77,0,0,0,4.09,0,0.77,6.39,0,41.18,0,0,3.08,0,0
 60-70,0,0,0.86,0,1.15,0,84.03,6.59,2.5,0,5.97,0.63,0,0,1.42,3.81,0,0,0,14.78,0,2.8,459.41,2.09,2.27,0,0,2.74,3.27,0,0,1.58,0,68.76,0,5.94,5.8,0.79,0
 72-82,0,0,1.49,0,5.5,1.45,115.13,3.03,0,1.85,34.43,1.91,1.07,3.57,0,0,0.69,0,0,40.56,5.93,0,571,0,0.7,0,0,2.17,0,0,9.13,0,0,42.49,0,10.97,15.51,15.45,9.44
 84-94,0,0,5.96,0,5.21,0,98.74,0.69,0,0,10.12,1.36,0,11.67,0,0.83,0,0,0,33.97,1.57,0.78,494.79,0.93,1.66,0,0,9.63,6.16,0,2.74,2.58,0,60.56,0,7.99,9.68,12.87,0
 96-106,0,0,1.75,0,5.48,10,115.58,1.91,0.88,5.84,14.3,1.43,0.76,4.51,0,2.56,0.75,10.33,0,40.6,7.6,0,394.72,0.64,0,0.98,0,3.24,0,0,3.88,0.72,0,47.65,1.88,7.88,15.17,22.96,0
108-118,0,0,6.42,0.61,0.89,6.05,147.2,3.26,0,2.05,19.09,0,0,14.36,0,4.04,0,0,0,41.1,6.42,2.24,566.22,3.06,0,3.19,0,7.08,0,0,0.41,0,0,22.71,0,0,23.58,25.44,1.42
120,0,0,0,0,24.69,1.9,138.95,12.08,0,6.89,39.35,1.18,0,9.97,1.77,0,1.15,0,0,59.04,0,15.58,1058.54,6.88,12.69,0,0,32.14,3.27,0,4.56,3.17,0,84.29,0,0,3.86,68.66,13.4
